instance,tree_file,inference_time_seconds
exon_1000.fasta,exon_1000.tre,1.735259
exon_10000.fasta,exon_10000.tre,0.430680
exon_10001.fasta,exon_10001.tre,1.212055
exon_10002.fasta,exon_10002.tre,0.647752
exon_10003.fasta,exon_10003.tre,0.336074
exon_10004.fasta,exon_10004.tre,0.690080
exon_10005.fasta,exon_10005.tre,0.505281
exon_10006.fasta,exon_10006.tre,0.542906
exon_10007.fasta,exon_10007.tre,0.589539
exon_10008.fasta,exon_10008.tre,0.411222
exon_10009.fasta,exon_10009.tre,0.526245
exon_1001.fasta,exon_1001.tre,0.994978
exon_10010.fasta,exon_10010.tre,0.637588
exon_10011.fasta,exon_10011.tre,0.480103
exon_10012.fasta,exon_10012.tre,0.410753
exon_10013.fasta,exon_10013.tre,0.495070
exon_10014.fasta,exon_10014.tre,0.520145
exon_10015.fasta,exon_10015.tre,0.365561
exon_10016.fasta,exon_10016.tre,0.674930
exon_10017.fasta,exon_10017.tre,0.537597
exon_10018.fasta,exon_10018.tre,0.418783
exon_10019.fasta,exon_10019.tre,0.333194
exon_10022.fasta,exon_10022.tre,0.787698
exon_10023.fasta,exon_10023.tre,0.891491
exon_10024.fasta,exon_10024.tre,0.651847
exon_10025.fasta,exon_10025.tre,0.537524
exon_10026.fasta,exon_10026.tre,2.045962
exon_10027.fasta,exon_10027.tre,0.839382
exon_10028.fasta,exon_10028.tre,0.459353
exon_10029.fasta,exon_10029.tre,0.816235
exon_10031.fasta,exon_10031.tre,0.390839
exon_10032.fasta,exon_10032.tre,0.879402
exon_10034.fasta,exon_10034.tre,0.641258
exon_10035.fasta,exon_10035.tre,0.414994
exon_10036.fasta,exon_10036.tre,0.527938
exon_1004.fasta,exon_1004.tre,0.505377
exon_10041.fasta,exon_10041.tre,0.525318
exon_10043.fasta,exon_10043.tre,1.087513
exon_10044.fasta,exon_10044.tre,0.659883
exon_10045.fasta,exon_10045.tre,0.523613
exon_10046.fasta,exon_10046.tre,1.747078
exon_10047.fasta,exon_10047.tre,0.714716
exon_10048.fasta,exon_10048.tre,0.404047
exon_10049.fasta,exon_10049.tre,0.626074
exon_1005.fasta,exon_1005.tre,0.457694
exon_10050.fasta,exon_10050.tre,0.551212
exon_10052.fasta,exon_10052.tre,0.564770
exon_10053.fasta,exon_10053.tre,0.870977
exon_10056.fasta,exon_10056.tre,0.613658
exon_10057.fasta,exon_10057.tre,0.588256
exon_10059.fasta,exon_10059.tre,0.767737
exon_1006.fasta,exon_1006.tre,0.813162
exon_10060.fasta,exon_10060.tre,0.860592
exon_10062.fasta,exon_10062.tre,2.567073
exon_10063.fasta,exon_10063.tre,0.495213
exon_10065.fasta,exon_10065.tre,0.708305
exon_10066.fasta,exon_10066.tre,0.511641
exon_10067.fasta,exon_10067.tre,0.663173
exon_10068.fasta,exon_10068.tre,0.530889
exon_10069.fasta,exon_10069.tre,0.652516
exon_10070.fasta,exon_10070.tre,0.437153
exon_10072.fasta,exon_10072.tre,0.590825
exon_10073.fasta,exon_10073.tre,0.937624
exon_10074.fasta,exon_10074.tre,0.733866
exon_10075.fasta,exon_10075.tre,0.430511
exon_10076.fasta,exon_10076.tre,1.088048
exon_10077.fasta,exon_10077.tre,0.380559
exon_10079.fasta,exon_10079.tre,0.627411
exon_10080.fasta,exon_10080.tre,0.566517
exon_10081.fasta,exon_10081.tre,0.572613
exon_10082.fasta,exon_10082.tre,0.487481
exon_10083.fasta,exon_10083.tre,0.534065
exon_10085.fasta,exon_10085.tre,0.516208
exon_10086.fasta,exon_10086.tre,0.721697
exon_10087.fasta,exon_10087.tre,0.672416
exon_10088.fasta,exon_10088.tre,0.989192
exon_1009.fasta,exon_1009.tre,0.653611
exon_10090.fasta,exon_10090.tre,0.449048
exon_10091.fasta,exon_10091.tre,0.998992
exon_10092.fasta,exon_10092.tre,0.474971
exon_10093.fasta,exon_10093.tre,0.507970
exon_10094.fasta,exon_10094.tre,0.380144
exon_10095.fasta,exon_10095.tre,0.510409
exon_10096.fasta,exon_10096.tre,0.545585
exon_10098.fasta,exon_10098.tre,0.352725
exon_10099.fasta,exon_10099.tre,0.482709
exon_10100.fasta,exon_10100.tre,0.487646
exon_10103.fasta,exon_10103.tre,0.671238
exon_10105.fasta,exon_10105.tre,0.336498
exon_10106.fasta,exon_10106.tre,0.523291
exon_10107.fasta,exon_10107.tre,0.491343
exon_10108.fasta,exon_10108.tre,0.504601
exon_10109.fasta,exon_10109.tre,0.455457
exon_10110.fasta,exon_10110.tre,0.528012
exon_10112.fasta,exon_10112.tre,0.423093
exon_10113.fasta,exon_10113.tre,0.547888
exon_10114.fasta,exon_10114.tre,0.515797
exon_10115.fasta,exon_10115.tre,1.875428
exon_10116.fasta,exon_10116.tre,0.688736
exon_10117.fasta,exon_10117.tre,0.723023
exon_10118.fasta,exon_10118.tre,0.641544
exon_10120.fasta,exon_10120.tre,7.021501
exon_10122.fasta,exon_10122.tre,0.435138
exon_10124.fasta,exon_10124.tre,0.787752
exon_10125.fasta,exon_10125.tre,0.440350
exon_10128.fasta,exon_10128.tre,0.670914
exon_10129.fasta,exon_10129.tre,0.389453
exon_1013.fasta,exon_1013.tre,0.546179
exon_10132.fasta,exon_10132.tre,1.096239
exon_10133.fasta,exon_10133.tre,0.663320
exon_10134.fasta,exon_10134.tre,0.914819
exon_10135.fasta,exon_10135.tre,0.354044
exon_10136.fasta,exon_10136.tre,1.519052
exon_10137.fasta,exon_10137.tre,0.514370
exon_10138.fasta,exon_10138.tre,0.709473
exon_10139.fasta,exon_10139.tre,0.432656
exon_1014.fasta,exon_1014.tre,0.656556
exon_10140.fasta,exon_10140.tre,0.591609
exon_10141.fasta,exon_10141.tre,1.190647
exon_10142.fasta,exon_10142.tre,0.689123
exon_10145.fasta,exon_10145.tre,0.577110
exon_10146.fasta,exon_10146.tre,0.818518
exon_10148.fasta,exon_10148.tre,0.537881
exon_10149.fasta,exon_10149.tre,0.529654
exon_1015.fasta,exon_1015.tre,6.067595
exon_10150.fasta,exon_10150.tre,0.417385
exon_10151.fasta,exon_10151.tre,0.562942
exon_10155.fasta,exon_10155.tre,0.699245
exon_10159.fasta,exon_10159.tre,0.696190
exon_1016.fasta,exon_1016.tre,0.885485
exon_10161.fasta,exon_10161.tre,0.683675
exon_10162.fasta,exon_10162.tre,0.623312
exon_10164.fasta,exon_10164.tre,0.978005
exon_10165.fasta,exon_10165.tre,0.669703
exon_10167.fasta,exon_10167.tre,0.647012
exon_10168.fasta,exon_10168.tre,0.593457
exon_10169.fasta,exon_10169.tre,0.570704
exon_10174.fasta,exon_10174.tre,1.014053
exon_10175.fasta,exon_10175.tre,0.594852
exon_10176.fasta,exon_10176.tre,0.526137
exon_10178.fasta,exon_10178.tre,0.539402
exon_10180.fasta,exon_10180.tre,0.320421
exon_10181.fasta,exon_10181.tre,0.700718
exon_10182.fasta,exon_10182.tre,0.540094
exon_10183.fasta,exon_10183.tre,0.881848
exon_10184.fasta,exon_10184.tre,0.699804
exon_10185.fasta,exon_10185.tre,0.418017
exon_10186.fasta,exon_10186.tre,0.563372
exon_10187.fasta,exon_10187.tre,0.356610
exon_10188.fasta,exon_10188.tre,0.721192
exon_10190.fasta,exon_10190.tre,0.717777
exon_10191.fasta,exon_10191.tre,0.584194
exon_10192.fasta,exon_10192.tre,0.598828
exon_10193.fasta,exon_10193.tre,1.277330
exon_10195.fasta,exon_10195.tre,0.410441
exon_10196.fasta,exon_10196.tre,0.729112
exon_10197.fasta,exon_10197.tre,0.535815
exon_10198.fasta,exon_10198.tre,0.550627
exon_10199.fasta,exon_10199.tre,0.699957
exon_102.fasta,exon_102.tre,0.514832
exon_1020.fasta,exon_1020.tre,0.726650
exon_10200.fasta,exon_10200.tre,0.757028
exon_10203.fasta,exon_10203.tre,1.132259
exon_10205.fasta,exon_10205.tre,0.592573
exon_10206.fasta,exon_10206.tre,0.432805
exon_10207.fasta,exon_10207.tre,0.757662
exon_10208.fasta,exon_10208.tre,0.658095
exon_1021.fasta,exon_1021.tre,0.421894
exon_10210.fasta,exon_10210.tre,0.654993
exon_10211.fasta,exon_10211.tre,0.668886
exon_10212.fasta,exon_10212.tre,0.936437
exon_10214.fasta,exon_10214.tre,0.561547
exon_10215.fasta,exon_10215.tre,0.562362
exon_10216.fasta,exon_10216.tre,0.558017
exon_10217.fasta,exon_10217.tre,0.537486
exon_10218.fasta,exon_10218.tre,0.874355
exon_10219.fasta,exon_10219.tre,0.654601
exon_1022.fasta,exon_1022.tre,0.556442
exon_10221.fasta,exon_10221.tre,0.692670
exon_10222.fasta,exon_10222.tre,0.591585
exon_10223.fasta,exon_10223.tre,0.719793
exon_10224.fasta,exon_10224.tre,0.508287
exon_10225.fasta,exon_10225.tre,0.415996
exon_10226.fasta,exon_10226.tre,0.574874
exon_10227.fasta,exon_10227.tre,1.232895
exon_10228.fasta,exon_10228.tre,0.945021
exon_10229.fasta,exon_10229.tre,0.576611
exon_10230.fasta,exon_10230.tre,0.574737
exon_10231.fasta,exon_10231.tre,0.824982
exon_10232.fasta,exon_10232.tre,0.555061
exon_10234.fasta,exon_10234.tre,1.499573
exon_10235.fasta,exon_10235.tre,0.548236
exon_10236.fasta,exon_10236.tre,0.483787
exon_10237.fasta,exon_10237.tre,0.610452
exon_10238.fasta,exon_10238.tre,0.534018
exon_10239.fasta,exon_10239.tre,0.498319
exon_1024.fasta,exon_1024.tre,0.339777
exon_10240.fasta,exon_10240.tre,0.719367
exon_10241.fasta,exon_10241.tre,0.652654
exon_10242.fasta,exon_10242.tre,0.883541
exon_10243.fasta,exon_10243.tre,0.505164
exon_10244.fasta,exon_10244.tre,0.528690
exon_10245.fasta,exon_10245.tre,0.603460
exon_10246.fasta,exon_10246.tre,0.644911
exon_10247.fasta,exon_10247.tre,0.926632
exon_10248.fasta,exon_10248.tre,0.562183
exon_10249.fasta,exon_10249.tre,0.611541
exon_1025.fasta,exon_1025.tre,0.708066
exon_10250.fasta,exon_10250.tre,0.655968
exon_10251.fasta,exon_10251.tre,0.534670
exon_10252.fasta,exon_10252.tre,0.633631
exon_10254.fasta,exon_10254.tre,0.869837
exon_10255.fasta,exon_10255.tre,0.563366
exon_10256.fasta,exon_10256.tre,0.536870
exon_10258.fasta,exon_10258.tre,1.029824
exon_10259.fasta,exon_10259.tre,0.461306
exon_1026.fasta,exon_1026.tre,0.672688
exon_10260.fasta,exon_10260.tre,0.482495
exon_10261.fasta,exon_10261.tre,0.438924
exon_10262.fasta,exon_10262.tre,0.571257
exon_10265.fasta,exon_10265.tre,0.777588
exon_10266.fasta,exon_10266.tre,0.474334
exon_10268.fasta,exon_10268.tre,0.619376
exon_1027.fasta,exon_1027.tre,0.951427
exon_10270.fasta,exon_10270.tre,0.422396
exon_10271.fasta,exon_10271.tre,0.405167
exon_10272.fasta,exon_10272.tre,0.539060
exon_10274.fasta,exon_10274.tre,0.520832
exon_10275.fasta,exon_10275.tre,0.543743
exon_10276.fasta,exon_10276.tre,0.547179
exon_10277.fasta,exon_10277.tre,0.527297
exon_10278.fasta,exon_10278.tre,0.509240
exon_10279.fasta,exon_10279.tre,0.799455
exon_1028.fasta,exon_1028.tre,0.593335
exon_10280.fasta,exon_10280.tre,0.331284
exon_10281.fasta,exon_10281.tre,0.410296
exon_10283.fasta,exon_10283.tre,0.543360
exon_10286.fasta,exon_10286.tre,0.996461
exon_10287.fasta,exon_10287.tre,0.521154
exon_10288.fasta,exon_10288.tre,0.583133
exon_10289.fasta,exon_10289.tre,0.717433
exon_1029.fasta,exon_1029.tre,0.446205
exon_10290.fasta,exon_10290.tre,0.482000
exon_10291.fasta,exon_10291.tre,0.750201
exon_10292.fasta,exon_10292.tre,0.634911
exon_10294.fasta,exon_10294.tre,0.468977
exon_10295.fasta,exon_10295.tre,0.466823
exon_10297.fasta,exon_10297.tre,1.268298
exon_10298.fasta,exon_10298.tre,0.628971
exon_1030.fasta,exon_1030.tre,0.645410
exon_10300.fasta,exon_10300.tre,0.579093
exon_10301.fasta,exon_10301.tre,1.073517
exon_10302.fasta,exon_10302.tre,0.500743
exon_10303.fasta,exon_10303.tre,0.794884
exon_10304.fasta,exon_10304.tre,0.677140
exon_10305.fasta,exon_10305.tre,0.557958
exon_10306.fasta,exon_10306.tre,0.571936
exon_10307.fasta,exon_10307.tre,0.519576
exon_10309.fasta,exon_10309.tre,0.496848
exon_10310.fasta,exon_10310.tre,0.469672
exon_10311.fasta,exon_10311.tre,1.841766
exon_10313.fasta,exon_10313.tre,0.659393
exon_10315.fasta,exon_10315.tre,0.609278
exon_10318.fasta,exon_10318.tre,0.384969
exon_10319.fasta,exon_10319.tre,0.434097
exon_10320.fasta,exon_10320.tre,0.561791
exon_10322.fasta,exon_10322.tre,1.041074
exon_10323.fasta,exon_10323.tre,0.391433
exon_10324.fasta,exon_10324.tre,0.606467
exon_10326.fasta,exon_10326.tre,0.432083
exon_10327.fasta,exon_10327.tre,0.628099
exon_10328.fasta,exon_10328.tre,1.678301
exon_10329.fasta,exon_10329.tre,0.578109
exon_10331.fasta,exon_10331.tre,0.611524
exon_10332.fasta,exon_10332.tre,0.527538
exon_10333.fasta,exon_10333.tre,0.755484
exon_10334.fasta,exon_10334.tre,1.187694
exon_10337.fasta,exon_10337.tre,0.400969
exon_10338.fasta,exon_10338.tre,0.728115
exon_10341.fasta,exon_10341.tre,0.572630
exon_10342.fasta,exon_10342.tre,0.677926
exon_10343.fasta,exon_10343.tre,0.563552
exon_10344.fasta,exon_10344.tre,0.683132
exon_10345.fasta,exon_10345.tre,0.511270
exon_10346.fasta,exon_10346.tre,0.501095
exon_10347.fasta,exon_10347.tre,0.510059
exon_10348.fasta,exon_10348.tre,0.668563
exon_10349.fasta,exon_10349.tre,0.611710
exon_1035.fasta,exon_1035.tre,0.489443
exon_10350.fasta,exon_10350.tre,0.580228
exon_10351.fasta,exon_10351.tre,0.593692
exon_10352.fasta,exon_10352.tre,0.685144
exon_10354.fasta,exon_10354.tre,0.629277
exon_10356.fasta,exon_10356.tre,0.619978
exon_10359.fasta,exon_10359.tre,0.424804
exon_1036.fasta,exon_1036.tre,0.560384
exon_10360.fasta,exon_10360.tre,0.595686
exon_10361.fasta,exon_10361.tre,0.911326
exon_10362.fasta,exon_10362.tre,0.930243
exon_10363.fasta,exon_10363.tre,0.316791
exon_10364.fasta,exon_10364.tre,0.323668
exon_10367.fasta,exon_10367.tre,0.733085
exon_10369.fasta,exon_10369.tre,0.560461
exon_1037.fasta,exon_1037.tre,0.558949
exon_10371.fasta,exon_10371.tre,0.559920
exon_10372.fasta,exon_10372.tre,0.660110
exon_10374.fasta,exon_10374.tre,0.573283
exon_10375.fasta,exon_10375.tre,0.696627
exon_10376.fasta,exon_10376.tre,1.064979
exon_10377.fasta,exon_10377.tre,0.561898
exon_10378.fasta,exon_10378.tre,0.699338
exon_10379.fasta,exon_10379.tre,0.402096
exon_1038.fasta,exon_1038.tre,0.678061
exon_10381.fasta,exon_10381.tre,0.547662
exon_10382.fasta,exon_10382.tre,0.461970
exon_10383.fasta,exon_10383.tre,0.633780
exon_10385.fasta,exon_10385.tre,0.399748
exon_1039.fasta,exon_1039.tre,0.651139
exon_10390.fasta,exon_10390.tre,0.544523
exon_10391.fasta,exon_10391.tre,0.602838
exon_10392.fasta,exon_10392.tre,0.587382
exon_10393.fasta,exon_10393.tre,0.647795
exon_10394.fasta,exon_10394.tre,0.848052
exon_10395.fasta,exon_10395.tre,0.653665
exon_10396.fasta,exon_10396.tre,0.926129
exon_10397.fasta,exon_10397.tre,0.508467
exon_10398.fasta,exon_10398.tre,0.718654
exon_10399.fasta,exon_10399.tre,1.293829
exon_1040.fasta,exon_1040.tre,0.436020
exon_10400.fasta,exon_10400.tre,0.734030
exon_10401.fasta,exon_10401.tre,0.766683
exon_10402.fasta,exon_10402.tre,0.827106
exon_10404.fasta,exon_10404.tre,0.521758
exon_10405.fasta,exon_10405.tre,0.608204
exon_10406.fasta,exon_10406.tre,0.534609
exon_10407.fasta,exon_10407.tre,0.587006
exon_10408.fasta,exon_10408.tre,0.742555
exon_10409.fasta,exon_10409.tre,0.434304
exon_10410.fasta,exon_10410.tre,0.627191
exon_10412.fasta,exon_10412.tre,0.535895
exon_10413.fasta,exon_10413.tre,0.533789
exon_10414.fasta,exon_10414.tre,0.402902
exon_10415.fasta,exon_10415.tre,0.608850
exon_10416.fasta,exon_10416.tre,0.652403
exon_10417.fasta,exon_10417.tre,0.492399
exon_10418.fasta,exon_10418.tre,0.457701
exon_10419.fasta,exon_10419.tre,0.766780
exon_1042.fasta,exon_1042.tre,0.551714
exon_10420.fasta,exon_10420.tre,0.408388
exon_10421.fasta,exon_10421.tre,0.864996
exon_10422.fasta,exon_10422.tre,1.071134
exon_10423.fasta,exon_10423.tre,0.706247
exon_10424.fasta,exon_10424.tre,0.980669
exon_10425.fasta,exon_10425.tre,0.609918
exon_10426.fasta,exon_10426.tre,0.979904
exon_10427.fasta,exon_10427.tre,0.411648
exon_10428.fasta,exon_10428.tre,0.429581
exon_10429.fasta,exon_10429.tre,1.771815
exon_1043.fasta,exon_1043.tre,0.769732
exon_10430.fasta,exon_10430.tre,0.694299
exon_10431.fasta,exon_10431.tre,0.540446
exon_10432.fasta,exon_10432.tre,0.887814
exon_10433.fasta,exon_10433.tre,0.831694
exon_10434.fasta,exon_10434.tre,0.806974
exon_10435.fasta,exon_10435.tre,0.358065
exon_10437.fasta,exon_10437.tre,0.609797
exon_10438.fasta,exon_10438.tre,0.418466
exon_1044.fasta,exon_1044.tre,1.243512
exon_10442.fasta,exon_10442.tre,0.623074
exon_10443.fasta,exon_10443.tre,1.395319
exon_10444.fasta,exon_10444.tre,0.687721
exon_10445.fasta,exon_10445.tre,0.439710
exon_10446.fasta,exon_10446.tre,0.446761
exon_10447.fasta,exon_10447.tre,0.552901
exon_10448.fasta,exon_10448.tre,1.149016
exon_10449.fasta,exon_10449.tre,0.822957
exon_1045.fasta,exon_1045.tre,0.628495
exon_10450.fasta,exon_10450.tre,0.569357
exon_10451.fasta,exon_10451.tre,0.411936
exon_10452.fasta,exon_10452.tre,0.565056
exon_10453.fasta,exon_10453.tre,0.957524
exon_10454.fasta,exon_10454.tre,0.620577
exon_10455.fasta,exon_10455.tre,1.872661
exon_10456.fasta,exon_10456.tre,0.344647
exon_10457.fasta,exon_10457.tre,0.514513
exon_10459.fasta,exon_10459.tre,0.508131
exon_1046.fasta,exon_1046.tre,0.705685
exon_10460.fasta,exon_10460.tre,0.715277
exon_10461.fasta,exon_10461.tre,0.444553
exon_10462.fasta,exon_10462.tre,0.413478
exon_10464.fasta,exon_10464.tre,0.488297
exon_10465.fasta,exon_10465.tre,0.553384
exon_10466.fasta,exon_10466.tre,0.596605
exon_10467.fasta,exon_10467.tre,0.373354
exon_10468.fasta,exon_10468.tre,0.630826
exon_10469.fasta,exon_10469.tre,0.605577
exon_1047.fasta,exon_1047.tre,0.720906
exon_10470.fasta,exon_10470.tre,0.572074
exon_10471.fasta,exon_10471.tre,0.595499
exon_10472.fasta,exon_10472.tre,0.584933
exon_10474.fasta,exon_10474.tre,0.650400
exon_10475.fasta,exon_10475.tre,0.700553
exon_10476.fasta,exon_10476.tre,1.474120
exon_10477.fasta,exon_10477.tre,0.659631
exon_10478.fasta,exon_10478.tre,0.927442
exon_10479.fasta,exon_10479.tre,0.484980
exon_10481.fasta,exon_10481.tre,0.513782
exon_10484.fasta,exon_10484.tre,0.612416
exon_10485.fasta,exon_10485.tre,0.617213
exon_10486.fasta,exon_10486.tre,0.512568
exon_1049.fasta,exon_1049.tre,1.840020
exon_10492.fasta,exon_10492.tre,0.451022
exon_10493.fasta,exon_10493.tre,0.584677
exon_10494.fasta,exon_10494.tre,0.456877
exon_10495.fasta,exon_10495.tre,0.490777
exon_10496.fasta,exon_10496.tre,0.626084
exon_10497.fasta,exon_10497.tre,0.713203
exon_10498.fasta,exon_10498.tre,0.481575
exon_10499.fasta,exon_10499.tre,0.482836
exon_105.fasta,exon_105.tre,0.757026
exon_1050.fasta,exon_1050.tre,0.529340
exon_10501.fasta,exon_10501.tre,0.595387
exon_10503.fasta,exon_10503.tre,0.540180
exon_10504.fasta,exon_10504.tre,0.543414
exon_10506.fasta,exon_10506.tre,1.042272
exon_10507.fasta,exon_10507.tre,0.455934
exon_10508.fasta,exon_10508.tre,0.441955
exon_10509.fasta,exon_10509.tre,0.505490
exon_1051.fasta,exon_1051.tre,0.659026
exon_10511.fasta,exon_10511.tre,0.622257
exon_10512.fasta,exon_10512.tre,0.861107
