instance,tree_file,inference_time_seconds
exon_1000.fasta,exon_1000.tre,1.672576
exon_10000.fasta,exon_10000.tre,0.356655
exon_10001.fasta,exon_10001.tre,0.908683
exon_10002.fasta,exon_10002.tre,0.580646
exon_10003.fasta,exon_10003.tre,0.317052
exon_10004.fasta,exon_10004.tre,0.649781
exon_10005.fasta,exon_10005.tre,0.449115
exon_10006.fasta,exon_10006.tre,0.502549
exon_10007.fasta,exon_10007.tre,0.540309
exon_10008.fasta,exon_10008.tre,0.373686
exon_10009.fasta,exon_10009.tre,0.490294
exon_1001.fasta,exon_1001.tre,0.830403
exon_10010.fasta,exon_10010.tre,0.617194
exon_10011.fasta,exon_10011.tre,0.455930
exon_10012.fasta,exon_10012.tre,0.385424
exon_10013.fasta,exon_10013.tre,0.464150
exon_10014.fasta,exon_10014.tre,0.482969
exon_10015.fasta,exon_10015.tre,0.338533
exon_10016.fasta,exon_10016.tre,0.645913
exon_10017.fasta,exon_10017.tre,0.520443
exon_10018.fasta,exon_10018.tre,0.459659
exon_10019.fasta,exon_10019.tre,0.326909
exon_10022.fasta,exon_10022.tre,0.710615
exon_10023.fasta,exon_10023.tre,0.865380
exon_10024.fasta,exon_10024.tre,0.620278
exon_10025.fasta,exon_10025.tre,0.494853
exon_10026.fasta,exon_10026.tre,1.975426
exon_10027.fasta,exon_10027.tre,0.801491
exon_10028.fasta,exon_10028.tre,0.427498
exon_10029.fasta,exon_10029.tre,0.786818
exon_10031.fasta,exon_10031.tre,0.366652
exon_10032.fasta,exon_10032.tre,0.821283
exon_10034.fasta,exon_10034.tre,0.621725
exon_10035.fasta,exon_10035.tre,0.401204
exon_10036.fasta,exon_10036.tre,0.503065
exon_1004.fasta,exon_1004.tre,0.473236
exon_10041.fasta,exon_10041.tre,0.486971
exon_10043.fasta,exon_10043.tre,1.061287
exon_10044.fasta,exon_10044.tre,0.692543
exon_10045.fasta,exon_10045.tre,0.524634
exon_10046.fasta,exon_10046.tre,1.744931
exon_10047.fasta,exon_10047.tre,0.716885
exon_10048.fasta,exon_10048.tre,0.385994
exon_10049.fasta,exon_10049.tre,0.598722
exon_1005.fasta,exon_1005.tre,0.439372
exon_10050.fasta,exon_10050.tre,0.518998
exon_10052.fasta,exon_10052.tre,0.528620
exon_10053.fasta,exon_10053.tre,0.851214
exon_10056.fasta,exon_10056.tre,0.590978
exon_10057.fasta,exon_10057.tre,0.576668
exon_10059.fasta,exon_10059.tre,0.741890
exon_1006.fasta,exon_1006.tre,0.786609
exon_10060.fasta,exon_10060.tre,0.877300
exon_10062.fasta,exon_10062.tre,2.538953
exon_10063.fasta,exon_10063.tre,0.473465
exon_10065.fasta,exon_10065.tre,0.681555
exon_10066.fasta,exon_10066.tre,0.486939
exon_10067.fasta,exon_10067.tre,0.623267
exon_10068.fasta,exon_10068.tre,0.511668
exon_10069.fasta,exon_10069.tre,0.609061
exon_10070.fasta,exon_10070.tre,0.402899
exon_10072.fasta,exon_10072.tre,0.557685
exon_10073.fasta,exon_10073.tre,0.889128
exon_10074.fasta,exon_10074.tre,0.707240
exon_10075.fasta,exon_10075.tre,0.413613
exon_10076.fasta,exon_10076.tre,1.055208
exon_10077.fasta,exon_10077.tre,0.367184
exon_10079.fasta,exon_10079.tre,0.597180
exon_10080.fasta,exon_10080.tre,0.555156
exon_10081.fasta,exon_10081.tre,0.560577
exon_10082.fasta,exon_10082.tre,0.473500
exon_10083.fasta,exon_10083.tre,0.514464
exon_10085.fasta,exon_10085.tre,0.488358
exon_10086.fasta,exon_10086.tre,0.673166
exon_10087.fasta,exon_10087.tre,0.621728
exon_10088.fasta,exon_10088.tre,0.950609
exon_1009.fasta,exon_1009.tre,0.614117
exon_10090.fasta,exon_10090.tre,0.421566
exon_10091.fasta,exon_10091.tre,0.959109
exon_10092.fasta,exon_10092.tre,0.444132
exon_10093.fasta,exon_10093.tre,0.474640
exon_10094.fasta,exon_10094.tre,0.359601
exon_10095.fasta,exon_10095.tre,0.485824
exon_10096.fasta,exon_10096.tre,0.463501
exon_10098.fasta,exon_10098.tre,0.333652
exon_10099.fasta,exon_10099.tre,0.454581
exon_10100.fasta,exon_10100.tre,0.467890
exon_10103.fasta,exon_10103.tre,0.648989
exon_10105.fasta,exon_10105.tre,0.333622
exon_10106.fasta,exon_10106.tre,0.511320
exon_10107.fasta,exon_10107.tre,0.471231
exon_10108.fasta,exon_10108.tre,0.466138
exon_10109.fasta,exon_10109.tre,0.429196
exon_10110.fasta,exon_10110.tre,0.495929
exon_10112.fasta,exon_10112.tre,0.401373
exon_10113.fasta,exon_10113.tre,0.517696
exon_10114.fasta,exon_10114.tre,0.483679
exon_10115.fasta,exon_10115.tre,1.837690
exon_10116.fasta,exon_10116.tre,0.622418
exon_10117.fasta,exon_10117.tre,0.685229
exon_10118.fasta,exon_10118.tre,0.601840
exon_10120.fasta,exon_10120.tre,6.900512
exon_10122.fasta,exon_10122.tre,0.414068
exon_10124.fasta,exon_10124.tre,0.716796
exon_10125.fasta,exon_10125.tre,0.415378
exon_10128.fasta,exon_10128.tre,0.633236
exon_10129.fasta,exon_10129.tre,0.337346
exon_1013.fasta,exon_1013.tre,0.501652
exon_10132.fasta,exon_10132.tre,1.049335
exon_10133.fasta,exon_10133.tre,0.599709
exon_10134.fasta,exon_10134.tre,0.893802
exon_10135.fasta,exon_10135.tre,0.349083
exon_10136.fasta,exon_10136.tre,1.464365
exon_10137.fasta,exon_10137.tre,0.479115
exon_10138.fasta,exon_10138.tre,0.675711
exon_10139.fasta,exon_10139.tre,0.413373
exon_1014.fasta,exon_1014.tre,0.620532
exon_10140.fasta,exon_10140.tre,0.563032
exon_10141.fasta,exon_10141.tre,1.120593
exon_10142.fasta,exon_10142.tre,0.663486
exon_10145.fasta,exon_10145.tre,0.523203
exon_10146.fasta,exon_10146.tre,0.784465
exon_10148.fasta,exon_10148.tre,0.480594
exon_10149.fasta,exon_10149.tre,0.466842
exon_1015.fasta,exon_1015.tre,5.829153
exon_10150.fasta,exon_10150.tre,0.372484
exon_10151.fasta,exon_10151.tre,0.503314
exon_10155.fasta,exon_10155.tre,0.647726
exon_10159.fasta,exon_10159.tre,0.651402
exon_1016.fasta,exon_1016.tre,0.849552
exon_10161.fasta,exon_10161.tre,0.650344
exon_10162.fasta,exon_10162.tre,0.586988
exon_10164.fasta,exon_10164.tre,0.946695
exon_10165.fasta,exon_10165.tre,0.645605
exon_10167.fasta,exon_10167.tre,0.564836
exon_10168.fasta,exon_10168.tre,0.566644
exon_10169.fasta,exon_10169.tre,0.532401
exon_10174.fasta,exon_10174.tre,0.993261
exon_10175.fasta,exon_10175.tre,0.563210
exon_10176.fasta,exon_10176.tre,0.498190
exon_10178.fasta,exon_10178.tre,0.511587
exon_10180.fasta,exon_10180.tre,0.298711
exon_10181.fasta,exon_10181.tre,0.649447
exon_10182.fasta,exon_10182.tre,0.505325
exon_10183.fasta,exon_10183.tre,0.814737
exon_10184.fasta,exon_10184.tre,0.595022
exon_10185.fasta,exon_10185.tre,0.359753
exon_10186.fasta,exon_10186.tre,0.490129
exon_10187.fasta,exon_10187.tre,0.306322
exon_10188.fasta,exon_10188.tre,0.634632
exon_10190.fasta,exon_10190.tre,0.639812
exon_10191.fasta,exon_10191.tre,0.543799
exon_10192.fasta,exon_10192.tre,0.573042
exon_10193.fasta,exon_10193.tre,1.237673
exon_10195.fasta,exon_10195.tre,0.379876
exon_10196.fasta,exon_10196.tre,0.672837
exon_10197.fasta,exon_10197.tre,0.496132
exon_10198.fasta,exon_10198.tre,0.502955
exon_10199.fasta,exon_10199.tre,0.648068
exon_102.fasta,exon_102.tre,0.470272
exon_1020.fasta,exon_1020.tre,0.668718
exon_10200.fasta,exon_10200.tre,0.692740
exon_10203.fasta,exon_10203.tre,1.074018
exon_10205.fasta,exon_10205.tre,0.550562
exon_10206.fasta,exon_10206.tre,0.389420
exon_10207.fasta,exon_10207.tre,0.701762
exon_10208.fasta,exon_10208.tre,0.595801
