instance,tree_file,inference_time_seconds
ENSG00000000003.nuc.ord.aln,ENSG00000000003.nuc.ord.tre,1.500877
ENSG00000000005.nuc.ord.aln,ENSG00000000005.nuc.ord.tre,0.373774
ENSG00000000457.nuc.ord.aln,ENSG00000000457.nuc.ord.tre,1.067553
ENSG00000000460.nuc.ord.aln,ENSG00000000460.nuc.ord.tre,1.048588
ENSG00000001036.nuc.ord.aln,ENSG00000001036.nuc.ord.tre,0.498121
ENSG00000001084.nuc.ord.aln,ENSG00000001084.nuc.ord.tre,0.558625
ENSG00000001167.nuc.ord.aln,ENSG00000001167.nuc.ord.tre,0.361593
ENSG00000001460.nuc.ord.aln,ENSG00000001460.nuc.ord.tre,0.450079
ENSG00000001461.nuc.ord.aln,ENSG00000001461.nuc.ord.tre,0.524951
ENSG00000001561.nuc.ord.aln,ENSG00000001561.nuc.ord.tre,0.432835
ENSG00000001617.nuc.ord.aln,ENSG00000001617.nuc.ord.tre,0.668254
ENSG00000001626.nuc.ord.aln,ENSG00000001626.nuc.ord.tre,1.762090
ENSG00000001629.nuc.ord.aln,ENSG00000001629.nuc.ord.tre,1.404160
ENSG00000001630.nuc.ord.aln,ENSG00000001630.nuc.ord.tre,0.479796
ENSG00000001631.nuc.ord.aln,ENSG00000001631.nuc.ord.tre,0.623648
ENSG00000002016.nuc.ord.aln,ENSG00000002016.nuc.ord.tre,0.498434
ENSG00000002330.nuc.ord.aln,ENSG00000002330.nuc.ord.tre,0.598949
ENSG00000002549.nuc.ord.aln,ENSG00000002549.nuc.ord.tre,0.485329
ENSG00000002587.nuc.ord.aln,ENSG00000002587.nuc.ord.tre,0.236502
ENSG00000002746.nuc.ord.aln,ENSG00000002746.nuc.ord.tre,3.164281
ENSG00000002822.nuc.ord.aln,ENSG00000002822.nuc.ord.tre,1.034505
ENSG00000002834.nuc.ord.aln,ENSG00000002834.nuc.ord.tre,0.506637
ENSG00000002919.nuc.ord.aln,ENSG00000002919.nuc.ord.tre,0.336528
ENSG00000002933.nuc.ord.aln,ENSG00000002933.nuc.ord.tre,0.244435
ENSG00000003056.nuc.ord.aln,ENSG00000003056.nuc.ord.tre,0.348057
ENSG00000003137.nuc.ord.aln,ENSG00000003137.nuc.ord.tre,0.453099
ENSG00000003147.nuc.ord.aln,ENSG00000003147.nuc.ord.tre,0.458233
ENSG00000003249.nuc.ord.aln,ENSG00000003249.nuc.ord.tre,0.315507
ENSG00000003393.nuc.ord.aln,ENSG00000003393.nuc.ord.tre,2.194265
ENSG00000003402.nuc.ord.aln,ENSG00000003402.nuc.ord.tre,0.488419
ENSG00000003436.nuc.ord.aln,ENSG00000003436.nuc.ord.tre,0.421667
ENSG00000003509.nuc.ord.aln,ENSG00000003509.nuc.ord.tre,0.439331
