instance,tree_file,inference_time_seconds
4032.aln,4032.tre,1.509027
4048.aln,4048.tre,1.163201
4103.aln,4103.tre,0.931640
4218.aln,4218.tre,1.125913
4234.aln,4234.tre,0.857158
4308.aln,4308.tre,1.086283
4321.aln,4321.tre,1.379247
4474.aln,4474.tre,1.136915
4478.aln,4478.tre,1.163511
4490.aln,4490.tre,0.537045
4524.aln,4524.tre,1.306728
4533.aln,4533.tre,0.952282
4547.aln,4547.tre,1.089418
4548.aln,4548.tre,1.608786
4579.aln,4579.tre,0.665090
4599.aln,4599.tre,0.670941
4623.aln,4623.tre,1.070691
4637.aln,4637.tre,0.729964
4638.aln,4638.tre,0.823400
4685.aln,4685.tre,0.477659
4729.aln,4729.tre,1.380216
4745.aln,4745.tre,0.529608
4777.aln,4777.tre,1.078267
4823.aln,4823.tre,0.798341
4886.aln,4886.tre,1.219178
4914.aln,4914.tre,1.560083
4932.aln,4932.tre,0.134242
4955.aln,4955.tre,0.945772
4975.aln,4975.tre,1.338199
4982.aln,4982.tre,2.422733
5034.aln,5034.tre,1.183684
5041.aln,5041.tre,0.246099
5062.aln,5062.tre,0.950613
5063.aln,5063.tre,1.625335
5068.aln,5068.tre,0.937717
5075.aln,5075.tre,1.531785
5081.aln,5081.tre,0.170996
5086.aln,5086.tre,1.288338
5087.aln,5087.tre,0.794519
5088.aln,5088.tre,0.682995
5091.aln,5091.tre,0.409289
5092.aln,5092.tre,0.959153
5096.aln,5096.tre,1.287800
5097.aln,5097.tre,0.993534
5103.aln,5103.tre,0.209290
5111.aln,5111.tre,1.293791
5116.aln,5116.tre,0.744794
5148.aln,5148.tre,0.939087
5154.aln,5154.tre,0.272305
5161.aln,5161.tre,1.892155
5165.aln,5165.tre,1.358675
5170.aln,5170.tre,1.119447
5172.aln,5172.tre,1.149999
5175.aln,5175.tre,1.146677
5188.aln,5188.tre,0.266089
5206.aln,5206.tre,1.580835
5226.aln,5226.tre,0.486229
5229.aln,5229.tre,1.053082
5233.aln,5233.tre,1.472527
5248.aln,5248.tre,0.662695
5270.aln,5270.tre,0.852753
5276.aln,5276.tre,1.883133
5279.aln,5279.tre,1.002677
5286.aln,5286.tre,0.853754
5294.aln,5294.tre,1.095413
5301.aln,5301.tre,0.814818
5304.aln,5304.tre,0.537657
5306.aln,5306.tre,0.705597
5310.aln,5310.tre,0.623504
5326.aln,5326.tre,0.545036
5331.aln,5331.tre,0.802320
5333.aln,5333.tre,0.220278
5334.aln,5334.tre,2.132327
5336.aln,5336.tre,0.985893
5338.aln,5338.tre,1.050599
5353.aln,5353.tre,0.931043
5358.aln,5358.tre,0.923932
5367.aln,5367.tre,1.139141
5375.aln,5375.tre,0.923993
5384.aln,5384.tre,0.589845
5385.aln,5385.tre,0.774140
5425.aln,5425.tre,0.610884
5427.aln,5427.tre,0.571031
5430.aln,5430.tre,0.868738
5460.aln,5460.tre,0.281340
5462.aln,5462.tre,0.734845
5463.aln,5463.tre,0.466209
5475.aln,5475.tre,0.891696
5479.aln,5479.tre,0.356088
5484.aln,5484.tre,0.670032
5488.aln,5488.tre,0.592553
5494.aln,5494.tre,0.701189
5498.aln,5498.tre,1.052592
5503.aln,5503.tre,0.744859
5507.aln,5507.tre,0.540222
5508.aln,5508.tre,1.593501
5514.aln,5514.tre,1.018640
5516.aln,5516.tre,0.831145
5521.aln,5521.tre,0.327711
5524.aln,5524.tre,1.040072
5528.aln,5528.tre,1.121490
5536.aln,5536.tre,0.996269
5551.aln,5551.tre,0.795850
5558.aln,5558.tre,1.359605
5559.aln,5559.tre,1.116771
5563.aln,5563.tre,0.580564
5571.aln,5571.tre,0.704965
5573.aln,5573.tre,0.681750
5578.aln,5578.tre,0.420902
5579.aln,5579.tre,0.598692
5582.aln,5582.tre,1.027565
5588.aln,5588.tre,0.487689
5600.aln,5600.tre,1.153999
5601.aln,5601.tre,1.057689
5604.aln,5604.tre,1.086459
5607.aln,5607.tre,0.872665
5613.aln,5613.tre,0.726152
5621.aln,5621.tre,1.002648
5628.aln,5628.tre,1.587798
5631.aln,5631.tre,0.664417
5644.aln,5644.tre,0.690328
5648.aln,5648.tre,3.116070
5656.aln,5656.tre,1.393976
5672.aln,5672.tre,0.394265
5675.aln,5675.tre,0.546844
