instance,tree_file,inference_time_seconds
G_l_256_n_20_0_0.01_10.phy,G_l_256_n_20_0_0.01_10.tre,1.433794
G_l_256_n_20_0_0.01_103.phy,G_l_256_n_20_0_0.01_103.tre,0.133391
G_l_256_n_20_0_0.01_104.phy,G_l_256_n_20_0_0.01_104.tre,0.132259
G_l_256_n_20_0_0.01_117.phy,G_l_256_n_20_0_0.01_117.tre,0.134084
G_l_256_n_20_0_0.01_120.phy,G_l_256_n_20_0_0.01_120.tre,0.153955
G_l_256_n_20_0_0.01_13.phy,G_l_256_n_20_0_0.01_13.tre,0.156055
G_l_256_n_20_0_0.01_15.phy,G_l_256_n_20_0_0.01_15.tre,0.149877
G_l_256_n_20_0_0.01_16.phy,G_l_256_n_20_0_0.01_16.tre,0.144472
G_l_256_n_20_0_0.01_23.phy,G_l_256_n_20_0_0.01_23.tre,0.154205
G_l_256_n_20_0_0.01_37.phy,G_l_256_n_20_0_0.01_37.tre,0.147855
G_l_256_n_20_0_0.01_42.phy,G_l_256_n_20_0_0.01_42.tre,0.155890
G_l_256_n_20_0_0.01_50.phy,G_l_256_n_20_0_0.01_50.tre,0.146045
G_l_256_n_20_0_0.01_55.phy,G_l_256_n_20_0_0.01_55.tre,0.409564
G_l_256_n_20_0_0.01_62.phy,G_l_256_n_20_0_0.01_62.tre,0.145132
G_l_256_n_20_0_0.01_63.phy,G_l_256_n_20_0_0.01_63.tre,0.145377
G_l_256_n_20_0_0.01_68.phy,G_l_256_n_20_0_0.01_68.tre,0.144307
G_l_256_n_20_0_0.01_7.phy,G_l_256_n_20_0_0.01_7.tre,0.146056
G_l_256_n_20_0_0.01_73.phy,G_l_256_n_20_0_0.01_73.tre,0.146196
G_l_256_n_20_0_0.01_74.phy,G_l_256_n_20_0_0.01_74.tre,0.145331
G_l_256_n_20_0_0.01_77.phy,G_l_256_n_20_0_0.01_77.tre,0.144323
G_l_256_n_20_0_0.01_78.phy,G_l_256_n_20_0_0.01_78.tre,0.144422
G_l_256_n_20_0_0.01_81.phy,G_l_256_n_20_0_0.01_81.tre,0.143761
G_l_256_n_20_0_0.01_83.phy,G_l_256_n_20_0_0.01_83.tre,0.144695
G_l_256_n_20_0_0.01_87.phy,G_l_256_n_20_0_0.01_87.tre,0.147484
G_l_256_n_20_0_0.01_90.phy,G_l_256_n_20_0_0.01_90.tre,0.146501
G_l_256_n_20_0_0.01_93.phy,G_l_256_n_20_0_0.01_93.tre,0.146237
G_l_256_n_20_0_0.01_96.phy,G_l_256_n_20_0_0.01_96.tre,0.148679
G_l_256_n_20_0_0.01_97.phy,G_l_256_n_20_0_0.01_97.tre,0.141676
G_l_256_n_20_0_0.02_109.phy,G_l_256_n_20_0_0.02_109.tre,0.142735
G_l_256_n_20_0_0.02_110.phy,G_l_256_n_20_0_0.02_110.tre,0.139528
G_l_256_n_20_0_0.02_111.phy,G_l_256_n_20_0_0.02_111.tre,0.138777
G_l_256_n_20_0_0.02_115.phy,G_l_256_n_20_0_0.02_115.tre,0.135163
G_l_256_n_20_0_0.02_118.phy,G_l_256_n_20_0_0.02_118.tre,0.136269
G_l_256_n_20_0_0.02_123.phy,G_l_256_n_20_0_0.02_123.tre,0.136044
G_l_256_n_20_0_0.02_14.phy,G_l_256_n_20_0_0.02_14.tre,0.150434
G_l_256_n_20_0_0.02_2.phy,G_l_256_n_20_0_0.02_2.tre,0.136805
G_l_256_n_20_0_0.02_20.phy,G_l_256_n_20_0_0.02_20.tre,0.133970
G_l_256_n_20_0_0.02_21.phy,G_l_256_n_20_0_0.02_21.tre,0.134299
G_l_256_n_20_0_0.02_24.phy,G_l_256_n_20_0_0.02_24.tre,0.139114
G_l_256_n_20_0_0.02_25.phy,G_l_256_n_20_0_0.02_25.tre,0.137156
G_l_256_n_20_0_0.02_26.phy,G_l_256_n_20_0_0.02_26.tre,0.135805
G_l_256_n_20_0_0.02_44.phy,G_l_256_n_20_0_0.02_44.tre,0.141617
G_l_256_n_20_0_0.02_49.phy,G_l_256_n_20_0_0.02_49.tre,0.138189
G_l_256_n_20_0_0.02_58.phy,G_l_256_n_20_0_0.02_58.tre,0.137638
G_l_256_n_20_0_0.02_6.phy,G_l_256_n_20_0_0.02_6.tre,0.141219
G_l_256_n_20_0_0.02_65.phy,G_l_256_n_20_0_0.02_65.tre,0.136768
G_l_256_n_20_0_0.02_66.phy,G_l_256_n_20_0_0.02_66.tre,0.133264
G_l_256_n_20_0_0.02_67.phy,G_l_256_n_20_0_0.02_67.tre,0.131853
G_l_256_n_20_0_0.02_80.phy,G_l_256_n_20_0_0.02_80.tre,0.133581
G_l_256_n_20_0_0.02_84.phy,G_l_256_n_20_0_0.02_84.tre,0.132457
G_l_256_n_20_0_0.02_85.phy,G_l_256_n_20_0_0.02_85.tre,0.133033
G_l_256_n_20_0_0.02_91.phy,G_l_256_n_20_0_0.02_91.tre,0.136419
G_l_256_n_20_0_0.02_92.phy,G_l_256_n_20_0_0.02_92.tre,0.130784
G_l_256_n_20_0_0.02_95.phy,G_l_256_n_20_0_0.02_95.tre,0.133081
G_l_256_n_20_0_0.02_99.phy,G_l_256_n_20_0_0.02_99.tre,0.129958
G_l_256_n_20_0_0.03_100.phy,G_l_256_n_20_0_0.03_100.tre,0.130407
G_l_256_n_20_0_0.03_101.phy,G_l_256_n_20_0_0.03_101.tre,0.133911
G_l_256_n_20_0_0.03_11.phy,G_l_256_n_20_0_0.03_11.tre,0.133323
G_l_256_n_20_0_0.03_112.phy,G_l_256_n_20_0_0.03_112.tre,0.138947
G_l_256_n_20_0_0.03_113.phy,G_l_256_n_20_0_0.03_113.tre,0.135796
G_l_256_n_20_0_0.03_125.phy,G_l_256_n_20_0_0.03_125.tre,0.133448
G_l_256_n_20_0_0.03_127.phy,G_l_256_n_20_0_0.03_127.tre,0.134325
G_l_256_n_20_0_0.03_18.phy,G_l_256_n_20_0_0.03_18.tre,0.135011
G_l_256_n_20_0_0.03_30.phy,G_l_256_n_20_0_0.03_30.tre,0.137302
G_l_256_n_20_0_0.03_31.phy,G_l_256_n_20_0_0.03_31.tre,0.137321
G_l_256_n_20_0_0.03_32.phy,G_l_256_n_20_0_0.03_32.tre,0.137249
G_l_256_n_20_0_0.03_4.phy,G_l_256_n_20_0_0.03_4.tre,0.136988
G_l_256_n_20_0_0.03_40.phy,G_l_256_n_20_0_0.03_40.tre,0.136715
G_l_256_n_20_0_0.03_43.phy,G_l_256_n_20_0_0.03_43.tre,0.138719
G_l_256_n_20_0_0.03_59.phy,G_l_256_n_20_0_0.03_59.tre,0.138065
G_l_256_n_20_0_0.03_60.phy,G_l_256_n_20_0_0.03_60.tre,0.137332
G_l_256_n_20_0_0.03_61.phy,G_l_256_n_20_0_0.03_61.tre,0.138037
