instance,tree_file,inference_time_seconds
gene1.aln,gene1.tre,3.819482
gene10.aln,gene10.tre,0.890920
gene100.aln,gene100.tre,0.586574
gene101.aln,gene101.tre,0.537431
gene102.aln,gene102.tre,0.628954
gene103.aln,gene103.tre,0.625350
gene104.aln,gene104.tre,0.441414
gene105.aln,gene105.tre,1.514393
gene106.aln,gene106.tre,0.438973
gene107.aln,gene107.tre,0.423742
gene108.aln,gene108.tre,3.627148
gene109.aln,gene109.tre,0.740631
gene110.aln,gene110.tre,1.442687
gene111.aln,gene111.tre,1.640624
gene112.aln,gene112.tre,0.585348
gene113.aln,gene113.tre,0.894365
gene114.aln,gene114.tre,0.565807
gene115.aln,gene115.tre,1.212446
gene116.aln,gene116.tre,0.499581
gene117.aln,gene117.tre,1.439540
gene118.aln,gene118.tre,0.923242
gene12.aln,gene12.tre,0.683244
gene120.aln,gene120.tre,0.502733
gene121.aln,gene121.tre,5.990546
gene122.aln,gene122.tre,0.604982
gene123.aln,gene123.tre,1.282105
gene124.aln,gene124.tre,0.657644
gene125.aln,gene125.tre,0.392577
gene126.aln,gene126.tre,1.954249
gene127.aln,gene127.tre,1.250442
gene128.aln,gene128.tre,3.255714
gene129.aln,gene129.tre,1.577318
gene13.aln,gene13.tre,0.751561
gene130.aln,gene130.tre,0.493491
gene131.aln,gene131.tre,0.669446
gene132.aln,gene132.tre,4.568428
gene133.aln,gene133.tre,5.417348
gene134.aln,gene134.tre,0.838258
gene135.aln,gene135.tre,6.316215
gene136.aln,gene136.tre,6.331715
gene137.aln,gene137.tre,1.030078
gene138.aln,gene138.tre,1.002888
gene139.aln,gene139.tre,1.152997
gene14.aln,gene14.tre,0.574872
gene140.aln,gene140.tre,1.124794
gene141.aln,gene141.tre,4.229160
gene142.aln,gene142.tre,0.545976
gene143.aln,gene143.tre,0.990266
gene144.aln,gene144.tre,2.698372
gene145.aln,gene145.tre,3.099803
gene146.aln,gene146.tre,2.311701
gene147.aln,gene147.tre,1.247997
gene148.aln,gene148.tre,0.876279
gene149.aln,gene149.tre,41.917049
gene15.aln,gene15.tre,1.074091
gene151.aln,gene151.tre,1.376007
gene152.aln,gene152.tre,0.485282
gene153.aln,gene153.tre,2.784267
gene154.aln,gene154.tre,0.970685
gene155.aln,gene155.tre,0.809195
gene156.aln,gene156.tre,0.695390
gene157.aln,gene157.tre,0.545444
gene158.aln,gene158.tre,0.631072
gene159.aln,gene159.tre,0.467094
gene16.aln,gene16.tre,0.936090
gene160.aln,gene160.tre,6.018183
gene161.aln,gene161.tre,1.461905
gene162.aln,gene162.tre,0.971066
gene163.aln,gene163.tre,0.460147
gene164.aln,gene164.tre,0.944232
gene165.aln,gene165.tre,0.493546
gene166.aln,gene166.tre,0.991334
gene167.aln,gene167.tre,1.236173
gene169.aln,gene169.tre,3.757768
gene17.aln,gene17.tre,0.785488
gene170.aln,gene170.tre,2.950310
gene171.aln,gene171.tre,1.375146
gene172.aln,gene172.tre,0.589432
gene173.aln,gene173.tre,0.859719
gene174.aln,gene174.tre,3.120102
gene175.aln,gene175.tre,0.800848
gene176.aln,gene176.tre,4.374390
gene177.aln,gene177.tre,0.405844
gene178.aln,gene178.tre,1.889294
gene179.aln,gene179.tre,1.331733
gene18.aln,gene18.tre,0.845001
gene180.aln,gene180.tre,3.565076
gene181.aln,gene181.tre,1.591225
gene182.aln,gene182.tre,0.417309
gene183.aln,gene183.tre,0.424889
gene184.aln,gene184.tre,0.582992
gene185.aln,gene185.tre,0.781174
gene186.aln,gene186.tre,9.194248
gene187.aln,gene187.tre,9.197978
gene188.aln,gene188.tre,1.493735
gene189.aln,gene189.tre,1.485342
gene19.aln,gene19.tre,1.575644
gene190.aln,gene190.tre,3.740529
gene191.aln,gene191.tre,4.437141
gene192.aln,gene192.tre,0.640050
gene193.aln,gene193.tre,0.918034
gene194.aln,gene194.tre,0.599272
gene195.aln,gene195.tre,0.766943
gene196.aln,gene196.tre,0.575516
gene198.aln,gene198.tre,2.646431
gene2.aln,gene2.tre,1.595338
gene20.aln,gene20.tre,2.101394
gene201.aln,gene201.tre,1.045150
gene202.aln,gene202.tre,1.229117
gene203.aln,gene203.tre,0.316842
gene204.aln,gene204.tre,1.009031
gene205.aln,gene205.tre,1.718124
gene206.aln,gene206.tre,1.096823
gene207.aln,gene207.tre,2.453852
gene208.aln,gene208.tre,0.421288
gene21.aln,gene21.tre,1.646032
gene210.aln,gene210.tre,1.081540
gene211.aln,gene211.tre,0.697273
gene212.aln,gene212.tre,0.836244
gene213.aln,gene213.tre,3.503823
gene214.aln,gene214.tre,1.462742
gene215.aln,gene215.tre,0.768856
gene216.aln,gene216.tre,0.737910
gene217.aln,gene217.tre,0.921117
gene218.aln,gene218.tre,0.960721
gene219.aln,gene219.tre,0.432399
gene22.aln,gene22.tre,0.441008
gene220.aln,gene220.tre,0.478453
gene221.aln,gene221.tre,0.521791
gene222.aln,gene222.tre,0.729329
gene223.aln,gene223.tre,1.245473
gene224.aln,gene224.tre,0.971798
gene225.aln,gene225.tre,0.762650
gene226.aln,gene226.tre,4.553321
gene227.aln,gene227.tre,0.747050
gene228.aln,gene228.tre,2.867014
gene229.aln,gene229.tre,1.017720
gene23.aln,gene23.tre,0.476307
gene230.aln,gene230.tre,1.059529
gene231.aln,gene231.tre,0.540206
gene233.aln,gene233.tre,2.073678
gene234.aln,gene234.tre,0.494332
gene235.aln,gene235.tre,0.832344
gene236.aln,gene236.tre,7.985585
gene237.aln,gene237.tre,5.396280
gene238.aln,gene238.tre,0.549583
gene239.aln,gene239.tre,1.288228
gene24.aln,gene24.tre,0.962266
gene240.aln,gene240.tre,0.388727
gene241.aln,gene241.tre,1.126778
gene242.aln,gene242.tre,1.121624
gene243.aln,gene243.tre,1.969458
gene244.aln,gene244.tre,0.538338
gene245.aln,gene245.tre,0.452502
gene246.aln,gene246.tre,1.975979
gene247.aln,gene247.tre,0.419466
gene248.aln,gene248.tre,0.739037
gene249.aln,gene249.tre,0.809465
gene25.aln,gene25.tre,0.790661
gene250.aln,gene250.tre,0.937102
gene251.aln,gene251.tre,0.933513
gene252.aln,gene252.tre,0.529259
gene253.aln,gene253.tre,1.957378
gene254.aln,gene254.tre,0.852273
gene255.aln,gene255.tre,1.555671
gene256.aln,gene256.tre,0.487735
gene258.aln,gene258.tre,0.786272
gene259.aln,gene259.tre,0.537462
gene26.aln,gene26.tre,0.857549
gene260.aln,gene260.tre,1.619803
gene261.aln,gene261.tre,0.573692
gene262.aln,gene262.tre,2.637680
gene263.aln,gene263.tre,0.420360
gene264.aln,gene264.tre,0.707194
gene265.aln,gene265.tre,0.686757
gene266.aln,gene266.tre,0.808861
gene267.aln,gene267.tre,0.544545
gene269.aln,gene269.tre,0.423867
gene27.aln,gene27.tre,0.494648
gene270.aln,gene270.tre,1.300575
gene271.aln,gene271.tre,0.969788
gene272.aln,gene272.tre,0.738704
gene273.aln,gene273.tre,1.180719
gene274.aln,gene274.tre,0.551638
gene275.aln,gene275.tre,0.571527
gene276.aln,gene276.tre,0.642702
gene277.aln,gene277.tre,0.804105
gene278.aln,gene278.tre,0.678406
gene279.aln,gene279.tre,3.766711
gene28.aln,gene28.tre,0.466057
gene280.aln,gene280.tre,1.051541
gene281.aln,gene281.tre,2.365512
gene282.aln,gene282.tre,1.221406
gene283.aln,gene283.tre,3.252888
gene284.aln,gene284.tre,0.879813
gene285.aln,gene285.tre,0.611524
gene286.aln,gene286.tre,0.991180
gene287.aln,gene287.tre,0.619650
gene288.aln,gene288.tre,2.085095
gene289.aln,gene289.tre,0.479125
gene29.aln,gene29.tre,2.263220
gene290.aln,gene290.tre,1.844491
gene291.aln,gene291.tre,2.400997
gene292.aln,gene292.tre,0.612854
gene293.aln,gene293.tre,0.842352
gene294.aln,gene294.tre,1.849275
gene295.aln,gene295.tre,1.220936
gene296.aln,gene296.tre,0.634260
gene297.aln,gene297.tre,1.388539
gene298.aln,gene298.tre,0.932877
gene299.aln,gene299.tre,0.419769
gene3.aln,gene3.tre,1.121534
gene30.aln,gene30.tre,0.973494
gene300.aln,gene300.tre,0.636039
gene301.aln,gene301.tre,0.545131
gene302.aln,gene302.tre,1.125053
gene303.aln,gene303.tre,0.662544
gene304.aln,gene304.tre,1.748506
gene305.aln,gene305.tre,0.568827
gene306.aln,gene306.tre,1.138092
gene307.aln,gene307.tre,0.988008
gene308.aln,gene308.tre,5.655588
gene309.aln,gene309.tre,1.370845
gene31.aln,gene31.tre,1.465158
gene310.aln,gene310.tre,1.072055
gene311.aln,gene311.tre,0.948042
gene312.aln,gene312.tre,0.705234
gene313.aln,gene313.tre,0.683505
gene314.aln,gene314.tre,0.466356
gene315.aln,gene315.tre,0.399927
gene316.aln,gene316.tre,1.977777
gene317.aln,gene317.tre,0.749673
gene318.aln,gene318.tre,0.404388
gene319.aln,gene319.tre,3.259437
gene32.aln,gene32.tre,0.551369
gene320.aln,gene320.tre,3.297150
gene321.aln,gene321.tre,0.793710
gene322.aln,gene322.tre,0.423487
gene323.aln,gene323.tre,0.754407
gene324.aln,gene324.tre,0.441033
gene325.aln,gene325.tre,1.718395
gene326.aln,gene326.tre,1.199054
gene327.aln,gene327.tre,0.673665
gene328.aln,gene328.tre,0.632596
gene33.aln,gene33.tre,0.376778
gene330.aln,gene330.tre,1.767704
gene331.aln,gene331.tre,1.227991
gene332.aln,gene332.tre,0.725057
gene333.aln,gene333.tre,0.494656
gene334.aln,gene334.tre,0.420176
gene335.aln,gene335.tre,0.549694
gene336.aln,gene336.tre,0.585071
gene337.aln,gene337.tre,0.438288
gene338.aln,gene338.tre,1.127318
gene339.aln,gene339.tre,0.746231
gene34.aln,gene34.tre,0.883768
gene340.aln,gene340.tre,1.219193
gene341.aln,gene341.tre,0.742572
gene342.aln,gene342.tre,0.379451
gene343.aln,gene343.tre,1.356047
gene344.aln,gene344.tre,4.250122
gene345.aln,gene345.tre,0.477027
gene346.aln,gene346.tre,0.535200
gene347.aln,gene347.tre,0.689807
gene348.aln,gene348.tre,0.435354
gene349.aln,gene349.tre,0.804778
gene350.aln,gene350.tre,0.647463
gene351.aln,gene351.tre,0.544214
gene352.aln,gene352.tre,0.861862
gene353.aln,gene353.tre,0.586664
gene354.aln,gene354.tre,0.767551
gene355.aln,gene355.tre,0.781914
gene356.aln,gene356.tre,0.478715
gene357.aln,gene357.tre,0.838313
gene359.aln,gene359.tre,0.694741
gene36.aln,gene36.tre,1.140754
gene360.aln,gene360.tre,0.366678
gene361.aln,gene361.tre,0.422370
gene362.aln,gene362.tre,0.551933
gene363.aln,gene363.tre,0.757669
gene364.aln,gene364.tre,0.687129
gene365.aln,gene365.tre,0.894155
gene366.aln,gene366.tre,0.977524
gene367.aln,gene367.tre,1.070682
gene368.aln,gene368.tre,0.537641
gene369.aln,gene369.tre,0.948528
gene37.aln,gene37.tre,0.551227
gene370.aln,gene370.tre,0.875976
gene371.aln,gene371.tre,0.430433
gene372.aln,gene372.tre,0.743656
gene373.aln,gene373.tre,0.459567
gene374.aln,gene374.tre,0.879431
gene375.aln,gene375.tre,0.571848
gene376.aln,gene376.tre,0.536389
gene377.aln,gene377.tre,0.522231
gene378.aln,gene378.tre,0.508666
gene379.aln,gene379.tre,0.495446
gene38.aln,gene38.tre,0.983575
gene380.aln,gene380.tre,1.065588
gene381.aln,gene381.tre,1.175937
gene382.aln,gene382.tre,2.966141
gene383.aln,gene383.tre,0.392933
gene384.aln,gene384.tre,0.406743
gene385.aln,gene385.tre,1.130067
gene386.aln,gene386.tre,1.007272
gene387.aln,gene387.tre,1.490159
gene388.aln,gene388.tre,0.520950
gene389.aln,gene389.tre,0.587530
gene39.aln,gene39.tre,0.680515
gene390.aln,gene390.tre,0.864924
gene391.aln,gene391.tre,3.800039
gene392.aln,gene392.tre,1.328707
gene393.aln,gene393.tre,1.256289
gene394.aln,gene394.tre,0.535945
gene395.aln,gene395.tre,0.476096
gene396.aln,gene396.tre,1.384410
gene397.aln,gene397.tre,3.381558
gene398.aln,gene398.tre,0.897401
