instance,tree_file,inference_time_seconds
ENSG00000000003.nuc.ord.aln,ENSG00000000003.nuc.ord.tre,1.514817
ENSG00000000005.nuc.ord.aln,ENSG00000000005.nuc.ord.tre,0.370683
ENSG00000000457.nuc.ord.aln,ENSG00000000457.nuc.ord.tre,0.983803
ENSG00000000460.nuc.ord.aln,ENSG00000000460.nuc.ord.tre,1.029907
ENSG00000001036.nuc.ord.aln,ENSG00000001036.nuc.ord.tre,0.489877
ENSG00000001084.nuc.ord.aln,ENSG00000001084.nuc.ord.tre,0.555451
ENSG00000001167.nuc.ord.aln,ENSG00000001167.nuc.ord.tre,0.355189
ENSG00000001460.nuc.ord.aln,ENSG00000001460.nuc.ord.tre,0.436445
ENSG00000001461.nuc.ord.aln,ENSG00000001461.nuc.ord.tre,0.509085
ENSG00000001561.nuc.ord.aln,ENSG00000001561.nuc.ord.tre,0.427412
ENSG00000001617.nuc.ord.aln,ENSG00000001617.nuc.ord.tre,0.668404
ENSG00000001626.nuc.ord.aln,ENSG00000001626.nuc.ord.tre,1.761323
ENSG00000001629.nuc.ord.aln,ENSG00000001629.nuc.ord.tre,1.357997
ENSG00000001630.nuc.ord.aln,ENSG00000001630.nuc.ord.tre,0.424311
ENSG00000001631.nuc.ord.aln,ENSG00000001631.nuc.ord.tre,0.586754
ENSG00000002016.nuc.ord.aln,ENSG00000002016.nuc.ord.tre,0.431704
ENSG00000002330.nuc.ord.aln,ENSG00000002330.nuc.ord.tre,0.499903
ENSG00000002549.nuc.ord.aln,ENSG00000002549.nuc.ord.tre,0.468997
ENSG00000002587.nuc.ord.aln,ENSG00000002587.nuc.ord.tre,0.235602
ENSG00000002746.nuc.ord.aln,ENSG00000002746.nuc.ord.tre,3.163803
ENSG00000002822.nuc.ord.aln,ENSG00000002822.nuc.ord.tre,1.035985
ENSG00000002834.nuc.ord.aln,ENSG00000002834.nuc.ord.tre,0.500572
ENSG00000002919.nuc.ord.aln,ENSG00000002919.nuc.ord.tre,0.334870
ENSG00000002933.nuc.ord.aln,ENSG00000002933.nuc.ord.tre,0.239853
ENSG00000003056.nuc.ord.aln,ENSG00000003056.nuc.ord.tre,0.333652
ENSG00000003137.nuc.ord.aln,ENSG00000003137.nuc.ord.tre,0.446178
ENSG00000003147.nuc.ord.aln,ENSG00000003147.nuc.ord.tre,0.447284
ENSG00000003249.nuc.ord.aln,ENSG00000003249.nuc.ord.tre,0.311613
ENSG00000003393.nuc.ord.aln,ENSG00000003393.nuc.ord.tre,2.167723
ENSG00000003402.nuc.ord.aln,ENSG00000003402.nuc.ord.tre,0.482715
ENSG00000003436.nuc.ord.aln,ENSG00000003436.nuc.ord.tre,0.415520
ENSG00000003509.nuc.ord.aln,ENSG00000003509.nuc.ord.tre,0.434815
ENSG00000003756.nuc.ord.aln,ENSG00000003756.nuc.ord.tre,0.922269
ENSG00000003987.nuc.ord.aln,ENSG00000003987.nuc.ord.tre,0.602465
ENSG00000003989.nuc.ord.aln,ENSG00000003989.nuc.ord.tre,0.977855
ENSG00000004059.nuc.ord.aln,ENSG00000004059.nuc.ord.tre,0.274630
ENSG00000004455.nuc.ord.aln,ENSG00000004455.nuc.ord.tre,0.326576
ENSG00000004468.nuc.ord.aln,ENSG00000004468.nuc.ord.tre,0.372995
ENSG00000004478.nuc.ord.aln,ENSG00000004478.nuc.ord.tre,0.390380
ENSG00000004487.nuc.ord.aln,ENSG00000004487.nuc.ord.tre,0.980128
ENSG00000004534.nuc.ord.aln,ENSG00000004534.nuc.ord.tre,1.280257
ENSG00000004660.nuc.ord.aln,ENSG00000004660.nuc.ord.tre,0.706396
ENSG00000004700.nuc.ord.aln,ENSG00000004700.nuc.ord.tre,0.576195
ENSG00000004766.nuc.ord.aln,ENSG00000004766.nuc.ord.tre,0.971747
ENSG00000004776.nuc.ord.aln,ENSG00000004776.nuc.ord.tre,0.263566
ENSG00000004779.nuc.ord.aln,ENSG00000004779.nuc.ord.tre,0.278932
ENSG00000004799.nuc.ord.aln,ENSG00000004799.nuc.ord.tre,0.443462
ENSG00000004809.nuc.ord.aln,ENSG00000004809.nuc.ord.tre,0.435983
ENSG00000004864.nuc.ord.aln,ENSG00000004864.nuc.ord.tre,0.550216
ENSG00000004897.nuc.ord.aln,ENSG00000004897.nuc.ord.tre,0.946027
ENSG00000004939.nuc.ord.aln,ENSG00000004939.nuc.ord.tre,0.817049
ENSG00000004961.nuc.ord.aln,ENSG00000004961.nuc.ord.tre,0.337280
ENSG00000004975.nuc.ord.aln,ENSG00000004975.nuc.ord.tre,0.498030
ENSG00000005001.nuc.ord.aln,ENSG00000005001.nuc.ord.tre,0.281753
ENSG00000005020.nuc.ord.aln,ENSG00000005020.nuc.ord.tre,0.416290
ENSG00000005059.nuc.ord.aln,ENSG00000005059.nuc.ord.tre,0.344415
ENSG00000005073.nuc.ord.aln,ENSG00000005073.nuc.ord.tre,0.335610
ENSG00000005100.nuc.ord.aln,ENSG00000005100.nuc.ord.tre,0.616972
ENSG00000005102.nuc.ord.aln,ENSG00000005102.nuc.ord.tre,0.306593
ENSG00000005108.nuc.ord.aln,ENSG00000005108.nuc.ord.tre,2.313433
ENSG00000005156.nuc.ord.aln,ENSG00000005156.nuc.ord.tre,1.089345
ENSG00000005175.nuc.ord.aln,ENSG00000005175.nuc.ord.tre,0.485809
ENSG00000005187.nuc.ord.aln,ENSG00000005187.nuc.ord.tre,0.587868
ENSG00000005189.nuc.ord.aln,ENSG00000005189.nuc.ord.tre,0.732574
ENSG00000005194.nuc.ord.aln,ENSG00000005194.nuc.ord.tre,0.367955
ENSG00000005249.nuc.ord.aln,ENSG00000005249.nuc.ord.tre,0.533233
ENSG00000005302.nuc.ord.aln,ENSG00000005302.nuc.ord.tre,0.405619
ENSG00000005339.nuc.ord.aln,ENSG00000005339.nuc.ord.tre,4.606110
ENSG00000005379.nuc.ord.aln,ENSG00000005379.nuc.ord.tre,2.894175
ENSG00000005381.nuc.ord.aln,ENSG00000005381.nuc.ord.tre,0.598457
ENSG00000005421.nuc.ord.aln,ENSG00000005421.nuc.ord.tre,0.377780
ENSG00000005436.nuc.ord.aln,ENSG00000005436.nuc.ord.tre,0.868534
