instance,tree_file,inference_time_seconds
G_l_1024_n_20_0_0.01_101.phy,G_l_1024_n_20_0_0.01_101.tre,89.468073
G_l_1024_n_20_0_0.01_104.phy,G_l_1024_n_20_0_0.01_104.tre,97.649339
G_l_1024_n_20_0_0.01_107.phy,G_l_1024_n_20_0_0.01_107.tre,97.662482
G_l_1024_n_20_0_0.01_108.phy,G_l_1024_n_20_0_0.01_108.tre,97.001541
G_l_1024_n_20_0_0.01_110.phy,G_l_1024_n_20_0_0.01_110.tre,108.092265
G_l_1024_n_20_0_0.01_115.phy,G_l_1024_n_20_0_0.01_115.tre,108.325045
G_l_1024_n_20_0_0.01_120.phy,G_l_1024_n_20_0_0.01_120.tre,125.226743
G_l_1024_n_20_0_0.01_13.phy,G_l_1024_n_20_0_0.01_13.tre,121.558093
G_l_1024_n_20_0_0.01_14.phy,G_l_1024_n_20_0_0.01_14.tre,121.713490
G_l_1024_n_20_0_0.01_21.phy,G_l_1024_n_20_0_0.01_21.tre,127.939771
G_l_1024_n_20_0_0.01_23.phy,G_l_1024_n_20_0_0.01_23.tre,119.641093
G_l_1024_n_20_0_0.01_26.phy,G_l_1024_n_20_0_0.01_26.tre,120.566994
G_l_1024_n_20_0_0.01_29.phy,G_l_1024_n_20_0_0.01_29.tre,115.228519
G_l_1024_n_20_0_0.01_44.phy,G_l_1024_n_20_0_0.01_44.tre,118.022767
G_l_1024_n_20_0_0.01_45.phy,G_l_1024_n_20_0_0.01_45.tre,110.160236
G_l_1024_n_20_0_0.01_58.phy,G_l_1024_n_20_0_0.01_58.tre,119.347311
G_l_1024_n_20_0_0.01_61.phy,G_l_1024_n_20_0_0.01_61.tre,118.980054
G_l_1024_n_20_0_0.01_64.phy,G_l_1024_n_20_0_0.01_64.tre,105.551158
G_l_1024_n_20_0_0.01_7.phy,G_l_1024_n_20_0_0.01_7.tre,125.547212
G_l_1024_n_20_0_0.01_71.phy,G_l_1024_n_20_0_0.01_71.tre,129.329484
G_l_1024_n_20_0_0.01_78.phy,G_l_1024_n_20_0_0.01_78.tre,123.057125
G_l_1024_n_20_0_0.01_80.phy,G_l_1024_n_20_0_0.01_80.tre,107.254423
G_l_1024_n_20_0_0.01_89.phy,G_l_1024_n_20_0_0.01_89.tre,106.112102
G_l_1024_n_20_0_0.02_10.phy,G_l_1024_n_20_0_0.02_10.tre,124.253415
G_l_1024_n_20_0_0.02_100.phy,G_l_1024_n_20_0_0.02_100.tre,124.677585
G_l_1024_n_20_0_0.02_103.phy,G_l_1024_n_20_0_0.02_103.tre,124.723276
G_l_1024_n_20_0_0.02_109.phy,G_l_1024_n_20_0_0.02_109.tre,111.790825
G_l_1024_n_20_0_0.02_11.phy,G_l_1024_n_20_0_0.02_11.tre,127.103070
G_l_1024_n_20_0_0.02_117.phy,G_l_1024_n_20_0_0.02_117.tre,123.624901
G_l_1024_n_20_0_0.02_123.phy,G_l_1024_n_20_0_0.02_123.tre,122.799931
G_l_1024_n_20_0_0.02_127.phy,G_l_1024_n_20_0_0.02_127.tre,122.126958
G_l_1024_n_20_0_0.02_17.phy,G_l_1024_n_20_0_0.02_17.tre,122.661774
G_l_1024_n_20_0_0.02_32.phy,G_l_1024_n_20_0_0.02_32.tre,120.865495
G_l_1024_n_20_0_0.02_35.phy,G_l_1024_n_20_0_0.02_35.tre,119.950123
G_l_1024_n_20_0_0.02_39.phy,G_l_1024_n_20_0_0.02_39.tre,122.846432
G_l_1024_n_20_0_0.02_40.phy,G_l_1024_n_20_0_0.02_40.tre,119.839765
G_l_1024_n_20_0_0.02_46.phy,G_l_1024_n_20_0_0.02_46.tre,120.678956
G_l_1024_n_20_0_0.02_48.phy,G_l_1024_n_20_0_0.02_48.tre,118.321163
G_l_1024_n_20_0_0.02_50.phy,G_l_1024_n_20_0_0.02_50.tre,121.007017
G_l_1024_n_20_0_0.02_54.phy,G_l_1024_n_20_0_0.02_54.tre,122.727216
G_l_1024_n_20_0_0.02_56.phy,G_l_1024_n_20_0_0.02_56.tre,112.186415
G_l_1024_n_20_0_0.02_57.phy,G_l_1024_n_20_0_0.02_57.tre,127.113621
G_l_1024_n_20_0_0.02_62.phy,G_l_1024_n_20_0_0.02_62.tre,119.530421
G_l_1024_n_20_0_0.02_70.phy,G_l_1024_n_20_0_0.02_70.tre,121.497688
G_l_1024_n_20_0_0.02_73.phy,G_l_1024_n_20_0_0.02_73.tre,120.605769
G_l_1024_n_20_0_0.02_81.phy,G_l_1024_n_20_0_0.02_81.tre,131.079721
G_l_1024_n_20_0_0.02_86.phy,G_l_1024_n_20_0_0.02_86.tre,121.146776
G_l_1024_n_20_0_0.02_87.phy,G_l_1024_n_20_0_0.02_87.tre,124.666960
G_l_1024_n_20_0_0.02_93.phy,G_l_1024_n_20_0_0.02_93.tre,119.679905
G_l_1024_n_20_0_0.03_0.phy,G_l_1024_n_20_0_0.03_0.tre,121.799297
G_l_1024_n_20_0_0.03_1.phy,G_l_1024_n_20_0_0.03_1.tre,113.359294
G_l_1024_n_20_0_0.03_102.phy,G_l_1024_n_20_0_0.03_102.tre,109.458484
G_l_1024_n_20_0_0.03_106.phy,G_l_1024_n_20_0_0.03_106.tre,109.639184
G_l_1024_n_20_0_0.03_111.phy,G_l_1024_n_20_0_0.03_111.tre,112.478389
G_l_1024_n_20_0_0.03_112.phy,G_l_1024_n_20_0_0.03_112.tre,120.769391
G_l_1024_n_20_0_0.03_114.phy,G_l_1024_n_20_0_0.03_114.tre,124.952660
G_l_1024_n_20_0_0.03_119.phy,G_l_1024_n_20_0_0.03_119.tre,119.080252
G_l_1024_n_20_0_0.03_126.phy,G_l_1024_n_20_0_0.03_126.tre,121.855549
G_l_1024_n_20_0_0.03_2.phy,G_l_1024_n_20_0_0.03_2.tre,131.802088
G_l_1024_n_20_0_0.03_24.phy,G_l_1024_n_20_0_0.03_24.tre,132.905299
G_l_1024_n_20_0_0.03_25.phy,G_l_1024_n_20_0_0.03_25.tre,127.937456
G_l_1024_n_20_0_0.03_30.phy,G_l_1024_n_20_0_0.03_30.tre,103.484424
G_l_1024_n_20_0_0.03_34.phy,G_l_1024_n_20_0_0.03_34.tre,118.500869
G_l_1024_n_20_0_0.03_37.phy,G_l_1024_n_20_0_0.03_37.tre,120.010274
G_l_1024_n_20_0_0.03_43.phy,G_l_1024_n_20_0_0.03_43.tre,121.945817
G_l_1024_n_20_0_0.03_47.phy,G_l_1024_n_20_0_0.03_47.tre,120.448909
G_l_1024_n_20_0_0.03_52.phy,G_l_1024_n_20_0_0.03_52.tre,116.923315
G_l_1024_n_20_0_0.03_59.phy,G_l_1024_n_20_0_0.03_59.tre,123.115718
G_l_1024_n_20_0_0.03_6.phy,G_l_1024_n_20_0_0.03_6.tre,121.591243
G_l_1024_n_20_0_0.03_68.phy,G_l_1024_n_20_0_0.03_68.tre,127.959764
G_l_1024_n_20_0_0.03_77.phy,G_l_1024_n_20_0_0.03_77.tre,122.912165
G_l_1024_n_20_0_0.03_82.phy,G_l_1024_n_20_0_0.03_82.tre,106.203836
G_l_1024_n_20_0_0.03_83.phy,G_l_1024_n_20_0_0.03_83.tre,124.410572
G_l_1024_n_20_0_0.03_88.phy,G_l_1024_n_20_0_0.03_88.tre,99.061307
G_l_1024_n_20_0_0.04_105.phy,G_l_1024_n_20_0_0.04_105.tre,129.386874
G_l_1024_n_20_0_0.04_116.phy,G_l_1024_n_20_0_0.04_116.tre,124.563635
G_l_1024_n_20_0_0.04_122.phy,G_l_1024_n_20_0_0.04_122.tre,116.523767
G_l_1024_n_20_0_0.04_124.phy,G_l_1024_n_20_0_0.04_124.tre,114.468475
G_l_1024_n_20_0_0.04_125.phy,G_l_1024_n_20_0_0.04_125.tre,107.782081
G_l_1024_n_20_0_0.04_16.phy,G_l_1024_n_20_0_0.04_16.tre,121.699583
G_l_1024_n_20_0_0.04_19.phy,G_l_1024_n_20_0_0.04_19.tre,121.680476
G_l_1024_n_20_0_0.04_20.phy,G_l_1024_n_20_0_0.04_20.tre,123.846724
G_l_1024_n_20_0_0.04_22.phy,G_l_1024_n_20_0_0.04_22.tre,121.595932
G_l_1024_n_20_0_0.04_28.phy,G_l_1024_n_20_0_0.04_28.tre,123.814668
G_l_1024_n_20_0_0.04_3.phy,G_l_1024_n_20_0_0.04_3.tre,117.300980
G_l_1024_n_20_0_0.04_36.phy,G_l_1024_n_20_0_0.04_36.tre,125.871299
G_l_1024_n_20_0_0.04_38.phy,G_l_1024_n_20_0_0.04_38.tre,117.259049
G_l_1024_n_20_0_0.04_4.phy,G_l_1024_n_20_0_0.04_4.tre,122.280406
G_l_1024_n_20_0_0.04_49.phy,G_l_1024_n_20_0_0.04_49.tre,132.179881
G_l_1024_n_20_0_0.04_51.phy,G_l_1024_n_20_0_0.04_51.tre,121.476913
G_l_1024_n_20_0_0.04_63.phy,G_l_1024_n_20_0_0.04_63.tre,120.006520
G_l_1024_n_20_0_0.04_65.phy,G_l_1024_n_20_0_0.04_65.tre,116.064972
G_l_1024_n_20_0_0.04_67.phy,G_l_1024_n_20_0_0.04_67.tre,123.401712
