instance,tree_file,inference_time_seconds
G_l_256_n_50_0_0.01_104.phy,G_l_256_n_50_0_0.01_104.tre,188.866956
G_l_256_n_50_0_0.01_110.phy,G_l_256_n_50_0_0.01_110.tre,170.891881
G_l_256_n_50_0_0.01_112.phy,G_l_256_n_50_0_0.01_112.tre,170.892564
G_l_256_n_50_0_0.01_113.phy,G_l_256_n_50_0_0.01_113.tre,177.769532
G_l_256_n_50_0_0.01_117.phy,G_l_256_n_50_0_0.01_117.tre,181.365757
G_l_256_n_50_0_0.01_121.phy,G_l_256_n_50_0_0.01_121.tre,176.424955
G_l_256_n_50_0_0.01_17.phy,G_l_256_n_50_0_0.01_17.tre,180.263842
G_l_256_n_50_0_0.01_21.phy,G_l_256_n_50_0_0.01_21.tre,170.908732
G_l_256_n_50_0_0.01_23.phy,G_l_256_n_50_0_0.01_23.tre,188.975232
G_l_256_n_50_0_0.01_26.phy,G_l_256_n_50_0_0.01_26.tre,208.438416
G_l_256_n_50_0_0.01_31.phy,G_l_256_n_50_0_0.01_31.tre,207.194208
G_l_256_n_50_0_0.01_38.phy,G_l_256_n_50_0_0.01_38.tre,192.432585
G_l_256_n_50_0_0.01_40.phy,G_l_256_n_50_0_0.01_40.tre,198.308115
G_l_256_n_50_0_0.01_44.phy,G_l_256_n_50_0_0.01_44.tre,199.420928
G_l_256_n_50_0_0.01_52.phy,G_l_256_n_50_0_0.01_52.tre,187.838445
G_l_256_n_50_0_0.01_57.phy,G_l_256_n_50_0_0.01_57.tre,193.959888
G_l_256_n_50_0_0.01_60.phy,G_l_256_n_50_0_0.01_60.tre,190.243660
G_l_256_n_50_0_0.01_62.phy,G_l_256_n_50_0_0.01_62.tre,199.118685
G_l_256_n_50_0_0.01_69.phy,G_l_256_n_50_0_0.01_69.tre,192.768955
G_l_256_n_50_0_0.01_78.phy,G_l_256_n_50_0_0.01_78.tre,194.326349
G_l_256_n_50_0_0.01_83.phy,G_l_256_n_50_0_0.01_83.tre,199.044637
G_l_256_n_50_0_0.01_9.phy,G_l_256_n_50_0_0.01_9.tre,203.438902
G_l_256_n_50_0_0.01_91.phy,G_l_256_n_50_0_0.01_91.tre,195.453912
G_l_256_n_50_0_0.01_93.phy,G_l_256_n_50_0_0.01_93.tre,204.075188
G_l_256_n_50_0_0.01_94.phy,G_l_256_n_50_0_0.01_94.tre,197.246706
G_l_256_n_50_0_0.01_97.phy,G_l_256_n_50_0_0.01_97.tre,195.975317
G_l_256_n_50_0_0.02_0.phy,G_l_256_n_50_0_0.02_0.tre,197.801528
G_l_256_n_50_0_0.02_101.phy,G_l_256_n_50_0_0.02_101.tre,188.682432
G_l_256_n_50_0_0.02_103.phy,G_l_256_n_50_0_0.02_103.tre,191.465527
G_l_256_n_50_0_0.02_106.phy,G_l_256_n_50_0_0.02_106.tre,193.470649
G_l_256_n_50_0_0.02_11.phy,G_l_256_n_50_0_0.02_11.tre,199.463911
G_l_256_n_50_0_0.02_111.phy,G_l_256_n_50_0_0.02_111.tre,187.571133
G_l_256_n_50_0_0.02_12.phy,G_l_256_n_50_0_0.02_12.tre,192.278316
G_l_256_n_50_0_0.02_125.phy,G_l_256_n_50_0_0.02_125.tre,196.088578
G_l_256_n_50_0_0.02_14.phy,G_l_256_n_50_0_0.02_14.tre,191.360169
G_l_256_n_50_0_0.02_16.phy,G_l_256_n_50_0_0.02_16.tre,197.967540
G_l_256_n_50_0_0.02_2.phy,G_l_256_n_50_0_0.02_2.tre,187.376870
G_l_256_n_50_0_0.02_22.phy,G_l_256_n_50_0_0.02_22.tre,193.254259
G_l_256_n_50_0_0.02_25.phy,G_l_256_n_50_0_0.02_25.tre,193.509965
G_l_256_n_50_0_0.02_27.phy,G_l_256_n_50_0_0.02_27.tre,198.604161
G_l_256_n_50_0_0.02_32.phy,G_l_256_n_50_0_0.02_32.tre,192.272252
G_l_256_n_50_0_0.02_35.phy,G_l_256_n_50_0_0.02_35.tre,190.137067
G_l_256_n_50_0_0.02_36.phy,G_l_256_n_50_0_0.02_36.tre,191.662911
G_l_256_n_50_0_0.02_42.phy,G_l_256_n_50_0_0.02_42.tre,172.270551
G_l_256_n_50_0_0.02_50.phy,G_l_256_n_50_0_0.02_50.tre,180.387601
G_l_256_n_50_0_0.02_63.phy,G_l_256_n_50_0_0.02_63.tre,179.869540
G_l_256_n_50_0_0.02_66.phy,G_l_256_n_50_0_0.02_66.tre,178.666857
G_l_256_n_50_0_0.02_76.phy,G_l_256_n_50_0_0.02_76.tre,181.913913
G_l_256_n_50_0_0.02_77.phy,G_l_256_n_50_0_0.02_77.tre,172.986063
G_l_256_n_50_0_0.02_81.phy,G_l_256_n_50_0_0.02_81.tre,184.429695
G_l_256_n_50_0_0.02_84.phy,G_l_256_n_50_0_0.02_84.tre,176.688939
G_l_256_n_50_0_0.02_85.phy,G_l_256_n_50_0_0.02_85.tre,169.598272
G_l_256_n_50_0_0.02_90.phy,G_l_256_n_50_0_0.02_90.tre,172.781603
G_l_256_n_50_0_0.02_95.phy,G_l_256_n_50_0_0.02_95.tre,172.751342
G_l_256_n_50_0_0.03_100.phy,G_l_256_n_50_0_0.03_100.tre,180.603484
G_l_256_n_50_0_0.03_102.phy,G_l_256_n_50_0_0.03_102.tre,183.528315
G_l_256_n_50_0_0.03_109.phy,G_l_256_n_50_0_0.03_109.tre,179.793936
G_l_256_n_50_0_0.03_114.phy,G_l_256_n_50_0_0.03_114.tre,178.485551
G_l_256_n_50_0_0.03_120.phy,G_l_256_n_50_0_0.03_120.tre,194.518912
G_l_256_n_50_0_0.03_122.phy,G_l_256_n_50_0_0.03_122.tre,182.319333
G_l_256_n_50_0_0.03_123.phy,G_l_256_n_50_0_0.03_123.tre,175.202427
G_l_256_n_50_0_0.03_127.phy,G_l_256_n_50_0_0.03_127.tre,175.456506
G_l_256_n_50_0_0.03_13.phy,G_l_256_n_50_0_0.03_13.tre,173.377504
G_l_256_n_50_0_0.03_20.phy,G_l_256_n_50_0_0.03_20.tre,172.420542
G_l_256_n_50_0_0.03_24.phy,G_l_256_n_50_0_0.03_24.tre,173.523472
G_l_256_n_50_0_0.03_3.phy,G_l_256_n_50_0_0.03_3.tre,173.605476
G_l_256_n_50_0_0.03_45.phy,G_l_256_n_50_0_0.03_45.tre,172.415033
G_l_256_n_50_0_0.03_47.phy,G_l_256_n_50_0_0.03_47.tre,175.399470
G_l_256_n_50_0_0.03_5.phy,G_l_256_n_50_0_0.03_5.tre,172.064921
G_l_256_n_50_0_0.03_51.phy,G_l_256_n_50_0_0.03_51.tre,181.113752
G_l_256_n_50_0_0.03_54.phy,G_l_256_n_50_0_0.03_54.tre,175.238403
G_l_256_n_50_0_0.03_61.phy,G_l_256_n_50_0_0.03_61.tre,164.161841
G_l_256_n_50_0_0.03_68.phy,G_l_256_n_50_0_0.03_68.tre,168.146073
G_l_256_n_50_0_0.03_7.phy,G_l_256_n_50_0_0.03_7.tre,160.422949
G_l_256_n_50_0_0.03_71.phy,G_l_256_n_50_0_0.03_71.tre,171.339640
G_l_256_n_50_0_0.03_73.phy,G_l_256_n_50_0_0.03_73.tre,166.130649
G_l_256_n_50_0_0.03_75.phy,G_l_256_n_50_0_0.03_75.tre,165.541350
G_l_256_n_50_0_0.03_82.phy,G_l_256_n_50_0_0.03_82.tre,171.385217
G_l_256_n_50_0_0.03_89.phy,G_l_256_n_50_0_0.03_89.tre,168.727029
G_l_256_n_50_0_0.03_96.phy,G_l_256_n_50_0_0.03_96.tre,166.196251
G_l_256_n_50_0_0.04_1.phy,G_l_256_n_50_0_0.04_1.tre,165.610184
G_l_256_n_50_0_0.04_105.phy,G_l_256_n_50_0_0.04_105.tre,162.582788
G_l_256_n_50_0_0.04_107.phy,G_l_256_n_50_0_0.04_107.tre,161.343907
G_l_256_n_50_0_0.04_108.phy,G_l_256_n_50_0_0.04_108.tre,165.023075
G_l_256_n_50_0_0.04_115.phy,G_l_256_n_50_0_0.04_115.tre,158.425795
G_l_256_n_50_0_0.04_116.phy,G_l_256_n_50_0_0.04_116.tre,162.193411
G_l_256_n_50_0_0.04_118.phy,G_l_256_n_50_0_0.04_118.tre,167.688812
G_l_256_n_50_0_0.04_124.phy,G_l_256_n_50_0_0.04_124.tre,160.755752
G_l_256_n_50_0_0.04_126.phy,G_l_256_n_50_0_0.04_126.tre,160.652036
G_l_256_n_50_0_0.04_15.phy,G_l_256_n_50_0_0.04_15.tre,159.244249
G_l_256_n_50_0_0.04_34.phy,G_l_256_n_50_0_0.04_34.tre,161.903873
G_l_256_n_50_0_0.04_37.phy,G_l_256_n_50_0_0.04_37.tre,160.246265
G_l_256_n_50_0_0.04_39.phy,G_l_256_n_50_0_0.04_39.tre,163.443593
G_l_256_n_50_0_0.04_4.phy,G_l_256_n_50_0_0.04_4.tre,166.695160
G_l_256_n_50_0_0.04_41.phy,G_l_256_n_50_0_0.04_41.tre,162.325555
G_l_256_n_50_0_0.04_43.phy,G_l_256_n_50_0_0.04_43.tre,165.801549
G_l_256_n_50_0_0.04_49.phy,G_l_256_n_50_0_0.04_49.tre,158.653391
G_l_256_n_50_0_0.04_53.phy,G_l_256_n_50_0_0.04_53.tre,163.138070
G_l_256_n_50_0_0.04_55.phy,G_l_256_n_50_0_0.04_55.tre,162.415206
G_l_256_n_50_0_0.04_6.phy,G_l_256_n_50_0_0.04_6.tre,163.448035
G_l_256_n_50_0_0.04_64.phy,G_l_256_n_50_0_0.04_64.tre,163.050462
G_l_256_n_50_0_0.04_65.phy,G_l_256_n_50_0_0.04_65.tre,161.836329
G_l_256_n_50_0_0.04_67.phy,G_l_256_n_50_0_0.04_67.tre,166.188583
G_l_256_n_50_0_0.04_70.phy,G_l_256_n_50_0_0.04_70.tre,169.890115
G_l_256_n_50_0_0.04_72.phy,G_l_256_n_50_0_0.04_72.tre,162.555978
G_l_256_n_50_0_0.04_74.phy,G_l_256_n_50_0_0.04_74.tre,161.854984
G_l_256_n_50_0_0.04_8.phy,G_l_256_n_50_0_0.04_8.tre,161.796218
G_l_256_n_50_0_0.04_80.phy,G_l_256_n_50_0_0.04_80.tre,170.251545
G_l_256_n_50_0_0.04_86.phy,G_l_256_n_50_0_0.04_86.tre,165.175723
G_l_256_n_50_0_0.04_99.phy,G_l_256_n_50_0_0.04_99.tre,162.979264
G_l_256_n_50_0_0_10.phy,G_l_256_n_50_0_0_10.tre,169.174223
G_l_256_n_50_0_0_119.phy,G_l_256_n_50_0_0_119.tre,158.477475
G_l_256_n_50_0_0_18.phy,G_l_256_n_50_0_0_18.tre,160.746114
G_l_256_n_50_0_0_19.phy,G_l_256_n_50_0_0_19.tre,169.698195
G_l_256_n_50_0_0_28.phy,G_l_256_n_50_0_0_28.tre,160.166613
G_l_256_n_50_0_0_29.phy,G_l_256_n_50_0_0_29.tre,164.528060
G_l_256_n_50_0_0_30.phy,G_l_256_n_50_0_0_30.tre,164.173295
G_l_256_n_50_0_0_33.phy,G_l_256_n_50_0_0_33.tre,169.906977
G_l_256_n_50_0_0_46.phy,G_l_256_n_50_0_0_46.tre,160.884649
G_l_256_n_50_0_0_48.phy,G_l_256_n_50_0_0_48.tre,162.747007
G_l_256_n_50_0_0_56.phy,G_l_256_n_50_0_0_56.tre,165.291263
G_l_256_n_50_0_0_58.phy,G_l_256_n_50_0_0_58.tre,161.739562
G_l_256_n_50_0_0_59.phy,G_l_256_n_50_0_0_59.tre,161.807074
G_l_256_n_50_0_0_79.phy,G_l_256_n_50_0_0_79.tre,163.725283
G_l_256_n_50_0_0_87.phy,G_l_256_n_50_0_0_87.tre,176.052444
G_l_256_n_50_0_0_88.phy,G_l_256_n_50_0_0_88.tre,164.575642
G_l_256_n_50_0_0_92.phy,G_l_256_n_50_0_0_92.tre,159.366697
G_l_256_n_50_0_0_98.phy,G_l_256_n_50_0_0_98.tre,167.638318
instance,tree_file,inference_time_seconds
G_l_512_n_50_0_0.01_10.phy,G_l_512_n_50_0_0.01_10.tre,173.144927
G_l_512_n_50_0_0.01_102.phy,G_l_512_n_50_0_0.01_102.tre,160.964632
G_l_512_n_50_0_0.01_103.phy,G_l_512_n_50_0_0.01_103.tre,153.844212
G_l_512_n_50_0_0.01_105.phy,G_l_512_n_50_0_0.01_105.tre,164.253921
G_l_512_n_50_0_0.01_109.phy,G_l_512_n_50_0_0.01_109.tre,174.668892
