instance,tree_file,inference_time_seconds
exon_1000.fasta,exon_1000.tre,91.090873
exon_10000.fasta,exon_10000.tre,74.450076
exon_10001.fasta,exon_10001.tre,121.904115
exon_10002.fasta,exon_10002.tre,89.715265
exon_10003.fasta,exon_10003.tre,69.987131
exon_10004.fasta,exon_10004.tre,95.484447
exon_10005.fasta,exon_10005.tre,86.505842
exon_10006.fasta,exon_10006.tre,88.637522
exon_10007.fasta,exon_10007.tre,88.147116
exon_10008.fasta,exon_10008.tre,80.703264
exon_10009.fasta,exon_10009.tre,89.102597
exon_1001.fasta,exon_1001.tre,96.530434
exon_10010.fasta,exon_10010.tre,98.994399
exon_10011.fasta,exon_10011.tre,79.514012
exon_10012.fasta,exon_10012.tre,75.505058
exon_10013.fasta,exon_10013.tre,85.912632
exon_10014.fasta,exon_10014.tre,83.175863
exon_10015.fasta,exon_10015.tre,72.816229
exon_10016.fasta,exon_10016.tre,102.962261
exon_10017.fasta,exon_10017.tre,83.948153
exon_10018.fasta,exon_10018.tre,74.179497
exon_10019.fasta,exon_10019.tre,71.248023
exon_10022.fasta,exon_10022.tre,84.945070
exon_10023.fasta,exon_10023.tre,120.900133
exon_10024.fasta,exon_10024.tre,102.574795
exon_10025.fasta,exon_10025.tre,86.024765
exon_10026.fasta,exon_10026.tre,226.698576
exon_10027.fasta,exon_10027.tre,110.995957
exon_10028.fasta,exon_10028.tre,79.013962
exon_10029.fasta,exon_10029.tre,108.845311
exon_10031.fasta,exon_10031.tre,74.701212
exon_10032.fasta,exon_10032.tre,112.498701
exon_10034.fasta,exon_10034.tre,96.666689
exon_10035.fasta,exon_10035.tre,76.892277
exon_10036.fasta,exon_10036.tre,84.075374
exon_1004.fasta,exon_1004.tre,80.136690
exon_10041.fasta,exon_10041.tre,87.268400
exon_10043.fasta,exon_10043.tre,129.366235
exon_10044.fasta,exon_10044.tre,100.611244
exon_10045.fasta,exon_10045.tre,92.414064
exon_10046.fasta,exon_10046.tre,200.377747
exon_10047.fasta,exon_10047.tre,83.956771
exon_10048.fasta,exon_10048.tre,76.296864
exon_10049.fasta,exon_10049.tre,95.595307
exon_1005.fasta,exon_1005.tre,82.025331
exon_10050.fasta,exon_10050.tre,88.787627
exon_10052.fasta,exon_10052.tre,96.102842
exon_10053.fasta,exon_10053.tre,114.140360
exon_10056.fasta,exon_10056.tre,96.362932
exon_10057.fasta,exon_10057.tre,92.089594
exon_10059.fasta,exon_10059.tre,110.786623
exon_1006.fasta,exon_1006.tre,115.867128
exon_10060.fasta,exon_10060.tre,103.135860
exon_10062.fasta,exon_10062.tre,279.362315
exon_10063.fasta,exon_10063.tre,91.098099
exon_10065.fasta,exon_10065.tre,101.699221
exon_10066.fasta,exon_10066.tre,88.295941
exon_10067.fasta,exon_10067.tre,98.171933
exon_10068.fasta,exon_10068.tre,83.871284
exon_10069.fasta,exon_10069.tre,101.358613
exon_10070.fasta,exon_10070.tre,77.558504
exon_10072.fasta,exon_10072.tre,94.049959
exon_10073.fasta,exon_10073.tre,111.900175
exon_10074.fasta,exon_10074.tre,110.306666
exon_10075.fasta,exon_10075.tre,77.835411
exon_10076.fasta,exon_10076.tre,157.407160
exon_10077.fasta,exon_10077.tre,74.361865
exon_10079.fasta,exon_10079.tre,100.716824
exon_10080.fasta,exon_10080.tre,95.022673
exon_10081.fasta,exon_10081.tre,91.199296
exon_10082.fasta,exon_10082.tre,81.903185
exon_10083.fasta,exon_10083.tre,86.157311
exon_10085.fasta,exon_10085.tre,83.615306
exon_10086.fasta,exon_10086.tre,87.739335
exon_10087.fasta,exon_10087.tre,118.733284
exon_10088.fasta,exon_10088.tre,132.408987
exon_1009.fasta,exon_1009.tre,109.111712
exon_10090.fasta,exon_10090.tre,77.993763
exon_10091.fasta,exon_10091.tre,131.749709
exon_10092.fasta,exon_10092.tre,79.928327
exon_10093.fasta,exon_10093.tre,83.792662
exon_10094.fasta,exon_10094.tre,76.622076
exon_10095.fasta,exon_10095.tre,88.523353
exon_10096.fasta,exon_10096.tre,72.514306
exon_10098.fasta,exon_10098.tre,72.311519
exon_10099.fasta,exon_10099.tre,81.344998
exon_10100.fasta,exon_10100.tre,82.405033
exon_10103.fasta,exon_10103.tre,103.486271
