instance,tree_file,inference_time_seconds
gene1.aln,gene1.tre,338.976774
gene10.aln,gene10.tre,121.745867
gene100.aln,gene100.tre,104.664164
gene101.aln,gene101.tre,93.643610
gene102.aln,gene102.tre,103.619491
gene103.aln,gene103.tre,103.916492
gene104.aln,gene104.tre,83.069799
gene105.aln,gene105.tre,215.641801
gene106.aln,gene106.tre,86.220165
gene107.aln,gene107.tre,80.012395
gene108.aln,gene108.tre,455.991009
gene109.aln,gene109.tre,123.638996
gene110.aln,gene110.tre,198.610430
gene111.aln,gene111.tre,209.522104
gene112.aln,gene112.tre,106.137311
gene113.aln,gene113.tre,146.077163
gene114.aln,gene114.tre,98.320496
gene115.aln,gene115.tre,188.981592
gene116.aln,gene116.tre,97.221062
gene117.aln,gene117.tre,192.190296
gene118.aln,gene118.tre,155.118176
gene12.aln,gene12.tre,118.191221
gene120.aln,gene120.tre,102.780057
gene121.aln,gene121.tre,725.775915
gene122.aln,gene122.tre,105.750941
gene123.aln,gene123.tre,197.113686
gene124.aln,gene124.tre,97.844426
gene125.aln,gene125.tre,80.266979
gene126.aln,gene126.tre,265.562744
gene127.aln,gene127.tre,191.557300
gene128.aln,gene128.tre,377.514174
gene129.aln,gene129.tre,239.008720
gene13.aln,gene13.tre,126.651110
gene130.aln,gene130.tre,106.931154
gene131.aln,gene131.tre,107.803855
gene132.aln,gene132.tre,567.835874
gene133.aln,gene133.tre,660.475423
gene134.aln,gene134.tre,114.509968
gene135.aln,gene135.tre,718.221240
gene136.aln,gene136.tre,718.281175
gene137.aln,gene137.tre,152.945419
gene138.aln,gene138.tre,165.414112
gene139.aln,gene139.tre,186.122219
gene14.aln,gene14.tre,100.506761
gene140.aln,gene140.tre,170.453661
gene141.aln,gene141.tre,500.717668
gene142.aln,gene142.tre,97.298739
gene143.aln,gene143.tre,160.798597
gene144.aln,gene144.tre,294.984846
gene145.aln,gene145.tre,361.876968
gene146.aln,gene146.tre,294.203959
gene147.aln,gene147.tre,182.949090
gene148.aln,gene148.tre,145.456587
