instance,tree_file,inference_time_seconds
G_l_256_n_100_0_0.01_101.phy,G_l_256_n_100_0_0.01_101.tre,148.398170
G_l_256_n_100_0_0.01_108.phy,G_l_256_n_100_0_0.01_108.tre,153.230782
G_l_256_n_100_0_0.01_116.phy,G_l_256_n_100_0_0.01_116.tre,173.906248
G_l_256_n_100_0_0.01_12.phy,G_l_256_n_100_0_0.01_12.tre,152.530626
G_l_256_n_100_0_0.01_126.phy,G_l_256_n_100_0_0.01_126.tre,173.239082
G_l_256_n_100_0_0.01_21.phy,G_l_256_n_100_0_0.01_21.tre,161.564591
G_l_256_n_100_0_0.01_23.phy,G_l_256_n_100_0_0.01_23.tre,153.790456
G_l_256_n_100_0_0.01_25.phy,G_l_256_n_100_0_0.01_25.tre,150.119127
G_l_256_n_100_0_0.01_28.phy,G_l_256_n_100_0_0.01_28.tre,161.117284
G_l_256_n_100_0_0.01_31.phy,G_l_256_n_100_0_0.01_31.tre,135.475128
G_l_256_n_100_0_0.01_32.phy,G_l_256_n_100_0_0.01_32.tre,143.514930
G_l_256_n_100_0_0.01_36.phy,G_l_256_n_100_0_0.01_36.tre,147.083265
G_l_256_n_100_0_0.01_38.phy,G_l_256_n_100_0_0.01_38.tre,143.948101
G_l_256_n_100_0_0.01_39.phy,G_l_256_n_100_0_0.01_39.tre,177.857721
G_l_256_n_100_0_0.01_42.phy,G_l_256_n_100_0_0.01_42.tre,153.121877
G_l_256_n_100_0_0.01_46.phy,G_l_256_n_100_0_0.01_46.tre,166.466586
G_l_256_n_100_0_0.01_51.phy,G_l_256_n_100_0_0.01_51.tre,151.512351
G_l_256_n_100_0_0.01_54.phy,G_l_256_n_100_0_0.01_54.tre,150.107912
G_l_256_n_100_0_0.01_55.phy,G_l_256_n_100_0_0.01_55.tre,146.884806
G_l_256_n_100_0_0.01_60.phy,G_l_256_n_100_0_0.01_60.tre,163.907115
G_l_256_n_100_0_0.01_64.phy,G_l_256_n_100_0_0.01_64.tre,158.415318
G_l_256_n_100_0_0.01_72.phy,G_l_256_n_100_0_0.01_72.tre,192.990460
G_l_256_n_100_0_0.01_73.phy,G_l_256_n_100_0_0.01_73.tre,185.487998
G_l_256_n_100_0_0.01_8.phy,G_l_256_n_100_0_0.01_8.tre,193.554381
G_l_256_n_100_0_0.01_81.phy,G_l_256_n_100_0_0.01_81.tre,191.096439
G_l_256_n_100_0_0.01_85.phy,G_l_256_n_100_0_0.01_85.tre,157.758221
G_l_256_n_100_0_0.01_89.phy,G_l_256_n_100_0_0.01_89.tre,160.246571
G_l_256_n_100_0_0.01_9.phy,G_l_256_n_100_0_0.01_9.tre,176.534322
G_l_256_n_100_0_0.01_91.phy,G_l_256_n_100_0_0.01_91.tre,162.776428
G_l_256_n_100_0_0.01_92.phy,G_l_256_n_100_0_0.01_92.tre,165.811454
G_l_256_n_100_0_0.01_94.phy,G_l_256_n_100_0_0.01_94.tre,157.222031
G_l_256_n_100_0_0.01_96.phy,G_l_256_n_100_0_0.01_96.tre,164.255780
G_l_256_n_100_0_0.02_1.phy,G_l_256_n_100_0_0.02_1.tre,163.494096
G_l_256_n_100_0_0.02_10.phy,G_l_256_n_100_0_0.02_10.tre,197.011143
G_l_256_n_100_0_0.02_100.phy,G_l_256_n_100_0_0.02_100.tre,166.508228
G_l_256_n_100_0_0.02_104.phy,G_l_256_n_100_0_0.02_104.tre,167.593959
G_l_256_n_100_0_0.02_105.phy,G_l_256_n_100_0_0.02_105.tre,184.088158
G_l_256_n_100_0_0.02_106.phy,G_l_256_n_100_0_0.02_106.tre,168.969018
G_l_256_n_100_0_0.02_113.phy,G_l_256_n_100_0_0.02_113.tre,156.645228
G_l_256_n_100_0_0.02_114.phy,G_l_256_n_100_0_0.02_114.tre,162.472065
G_l_256_n_100_0_0.02_124.phy,G_l_256_n_100_0_0.02_124.tre,181.134571
G_l_256_n_100_0_0.02_125.phy,G_l_256_n_100_0_0.02_125.tre,157.020957
G_l_256_n_100_0_0.02_14.phy,G_l_256_n_100_0_0.02_14.tre,174.728289
G_l_256_n_100_0_0.02_19.phy,G_l_256_n_100_0_0.02_19.tre,187.003355
G_l_256_n_100_0_0.02_20.phy,G_l_256_n_100_0_0.02_20.tre,167.229008
G_l_256_n_100_0_0.02_26.phy,G_l_256_n_100_0_0.02_26.tre,165.718081
G_l_256_n_100_0_0.02_4.phy,G_l_256_n_100_0_0.02_4.tre,172.081809
G_l_256_n_100_0_0.02_47.phy,G_l_256_n_100_0_0.02_47.tre,160.770810
G_l_256_n_100_0_0.02_67.phy,G_l_256_n_100_0_0.02_67.tre,159.286364
G_l_256_n_100_0_0.02_68.phy,G_l_256_n_100_0_0.02_68.tre,182.114240
G_l_256_n_100_0_0.02_70.phy,G_l_256_n_100_0_0.02_70.tre,157.062151
G_l_256_n_100_0_0.02_80.phy,G_l_256_n_100_0_0.02_80.tre,141.296261
G_l_256_n_100_0_0.02_82.phy,G_l_256_n_100_0_0.02_82.tre,158.495128
G_l_256_n_100_0_0.03_0.phy,G_l_256_n_100_0_0.03_0.tre,142.324176
G_l_256_n_100_0_0.03_102.phy,G_l_256_n_100_0_0.03_102.tre,183.814118
G_l_256_n_100_0_0.03_11.phy,G_l_256_n_100_0_0.03_11.tre,149.871111
G_l_256_n_100_0_0.03_117.phy,G_l_256_n_100_0_0.03_117.tre,147.664239
G_l_256_n_100_0_0.03_123.phy,G_l_256_n_100_0_0.03_123.tre,167.432194
G_l_256_n_100_0_0.03_15.phy,G_l_256_n_100_0_0.03_15.tre,154.129133
G_l_256_n_100_0_0.03_17.phy,G_l_256_n_100_0_0.03_17.tre,153.340862
G_l_256_n_100_0_0.03_2.phy,G_l_256_n_100_0_0.03_2.tre,161.212679
G_l_256_n_100_0_0.03_22.phy,G_l_256_n_100_0_0.03_22.tre,158.984134
G_l_256_n_100_0_0.03_29.phy,G_l_256_n_100_0_0.03_29.tre,150.107473
G_l_256_n_100_0_0.03_34.phy,G_l_256_n_100_0_0.03_34.tre,161.609027
G_l_256_n_100_0_0.03_37.phy,G_l_256_n_100_0_0.03_37.tre,142.312418
G_l_256_n_100_0_0.03_49.phy,G_l_256_n_100_0_0.03_49.tre,158.047170
G_l_256_n_100_0_0.03_59.phy,G_l_256_n_100_0_0.03_59.tre,157.581229
G_l_256_n_100_0_0.03_61.phy,G_l_256_n_100_0_0.03_61.tre,160.377326
G_l_256_n_100_0_0.03_84.phy,G_l_256_n_100_0_0.03_84.tre,170.370930
G_l_256_n_100_0_0.03_90.phy,G_l_256_n_100_0_0.03_90.tre,151.025540
G_l_256_n_100_0_0.03_93.phy,G_l_256_n_100_0_0.03_93.tre,163.775587
G_l_256_n_100_0_0.03_95.phy,G_l_256_n_100_0_0.03_95.tre,153.966946
G_l_256_n_100_0_0.03_99.phy,G_l_256_n_100_0_0.03_99.tre,150.430231
G_l_256_n_100_0_0.04_119.phy,G_l_256_n_100_0_0.04_119.tre,153.560020
G_l_256_n_100_0_0.04_120.phy,G_l_256_n_100_0_0.04_120.tre,154.857596
G_l_256_n_100_0_0.04_122.phy,G_l_256_n_100_0_0.04_122.tre,139.566508
G_l_256_n_100_0_0.04_127.phy,G_l_256_n_100_0_0.04_127.tre,139.777357
G_l_256_n_100_0_0.04_13.phy,G_l_256_n_100_0_0.04_13.tre,148.768133
G_l_256_n_100_0_0.04_3.phy,G_l_256_n_100_0_0.04_3.tre,144.588313
G_l_256_n_100_0_0.04_33.phy,G_l_256_n_100_0_0.04_33.tre,151.655637
G_l_256_n_100_0_0.04_40.phy,G_l_256_n_100_0_0.04_40.tre,145.709698
G_l_256_n_100_0_0.04_41.phy,G_l_256_n_100_0_0.04_41.tre,139.660964
G_l_256_n_100_0_0.04_48.phy,G_l_256_n_100_0_0.04_48.tre,154.117436
G_l_256_n_100_0_0.04_50.phy,G_l_256_n_100_0_0.04_50.tre,148.221760
G_l_256_n_100_0_0.04_52.phy,G_l_256_n_100_0_0.04_52.tre,150.343498
G_l_256_n_100_0_0.04_56.phy,G_l_256_n_100_0_0.04_56.tre,175.246344
G_l_256_n_100_0_0.04_57.phy,G_l_256_n_100_0_0.04_57.tre,146.369026
G_l_256_n_100_0_0.04_58.phy,G_l_256_n_100_0_0.04_58.tre,181.140648
G_l_256_n_100_0_0.04_66.phy,G_l_256_n_100_0_0.04_66.tre,194.649591
G_l_256_n_100_0_0.04_7.phy,G_l_256_n_100_0_0.04_7.tre,162.340137
G_l_256_n_100_0_0.04_71.phy,G_l_256_n_100_0_0.04_71.tre,158.923316
G_l_256_n_100_0_0.04_88.phy,G_l_256_n_100_0_0.04_88.tre,151.824601
G_l_256_n_100_0_0.04_97.phy,G_l_256_n_100_0_0.04_97.tre,146.228709
G_l_256_n_100_0_0_103.phy,G_l_256_n_100_0_0_103.tre,141.439994
G_l_256_n_100_0_0_107.phy,G_l_256_n_100_0_0_107.tre,147.312942
G_l_256_n_100_0_0_109.phy,G_l_256_n_100_0_0_109.tre,185.911572
G_l_256_n_100_0_0_110.phy,G_l_256_n_100_0_0_110.tre,166.796573
G_l_256_n_100_0_0_111.phy,G_l_256_n_100_0_0_111.tre,155.573388
G_l_256_n_100_0_0_112.phy,G_l_256_n_100_0_0_112.tre,149.468975
G_l_256_n_100_0_0_115.phy,G_l_256_n_100_0_0_115.tre,148.595975
G_l_256_n_100_0_0_118.phy,G_l_256_n_100_0_0_118.tre,147.084983
G_l_256_n_100_0_0_121.phy,G_l_256_n_100_0_0_121.tre,160.785182
G_l_256_n_100_0_0_16.phy,G_l_256_n_100_0_0_16.tre,142.464244
G_l_256_n_100_0_0_18.phy,G_l_256_n_100_0_0_18.tre,162.810651
G_l_256_n_100_0_0_24.phy,G_l_256_n_100_0_0_24.tre,150.447141
G_l_256_n_100_0_0_27.phy,G_l_256_n_100_0_0_27.tre,144.280367
G_l_256_n_100_0_0_30.phy,G_l_256_n_100_0_0_30.tre,175.497826
G_l_256_n_100_0_0_35.phy,G_l_256_n_100_0_0_35.tre,157.242243
G_l_256_n_100_0_0_43.phy,G_l_256_n_100_0_0_43.tre,168.282465
G_l_256_n_100_0_0_44.phy,G_l_256_n_100_0_0_44.tre,170.071547
G_l_256_n_100_0_0_45.phy,G_l_256_n_100_0_0_45.tre,174.539603
G_l_256_n_100_0_0_5.phy,G_l_256_n_100_0_0_5.tre,151.375382
G_l_256_n_100_0_0_53.phy,G_l_256_n_100_0_0_53.tre,137.820764
G_l_256_n_100_0_0_6.phy,G_l_256_n_100_0_0_6.tre,146.176243
G_l_256_n_100_0_0_62.phy,G_l_256_n_100_0_0_62.tre,159.761269
G_l_256_n_100_0_0_63.phy,G_l_256_n_100_0_0_63.tre,152.385840
G_l_256_n_100_0_0_65.phy,G_l_256_n_100_0_0_65.tre,138.884840
G_l_256_n_100_0_0_69.phy,G_l_256_n_100_0_0_69.tre,166.596925
G_l_256_n_100_0_0_74.phy,G_l_256_n_100_0_0_74.tre,152.548946
G_l_256_n_100_0_0_75.phy,G_l_256_n_100_0_0_75.tre,144.609302
G_l_256_n_100_0_0_76.phy,G_l_256_n_100_0_0_76.tre,136.762861
G_l_256_n_100_0_0_77.phy,G_l_256_n_100_0_0_77.tre,161.217932
G_l_256_n_100_0_0_78.phy,G_l_256_n_100_0_0_78.tre,149.433160
G_l_256_n_100_0_0_79.phy,G_l_256_n_100_0_0_79.tre,145.781131
G_l_256_n_100_0_0_83.phy,G_l_256_n_100_0_0_83.tre,143.077670
G_l_256_n_100_0_0_86.phy,G_l_256_n_100_0_0_86.tre,150.174673
G_l_256_n_100_0_0_87.phy,G_l_256_n_100_0_0_87.tre,163.032225
G_l_256_n_100_0_0_98.phy,G_l_256_n_100_0_0_98.tre,165.927920
instance,tree_file,inference_time_seconds
G_l_512_n_100_0_0.01_1.phy,G_l_512_n_100_0_0.01_1.tre,201.130717
G_l_512_n_100_0_0.01_103.phy,G_l_512_n_100_0_0.01_103.tre,200.697237
G_l_512_n_100_0_0.01_108.phy,G_l_512_n_100_0_0.01_108.tre,184.385848
G_l_512_n_100_0_0.01_116.phy,G_l_512_n_100_0_0.01_116.tre,171.481268
G_l_512_n_100_0_0.01_117.phy,G_l_512_n_100_0_0.01_117.tre,191.629028
G_l_512_n_100_0_0.01_122.phy,G_l_512_n_100_0_0.01_122.tre,179.184626
G_l_512_n_100_0_0.01_126.phy,G_l_512_n_100_0_0.01_126.tre,174.476419
G_l_512_n_100_0_0.01_2.phy,G_l_512_n_100_0_0.01_2.tre,190.991968
G_l_512_n_100_0_0.01_20.phy,G_l_512_n_100_0_0.01_20.tre,217.391855
G_l_512_n_100_0_0.01_25.phy,G_l_512_n_100_0_0.01_25.tre,203.740144
G_l_512_n_100_0_0.01_26.phy,G_l_512_n_100_0_0.01_26.tre,176.303034
G_l_512_n_100_0_0.01_33.phy,G_l_512_n_100_0_0.01_33.tre,170.763603
G_l_512_n_100_0_0.01_34.phy,G_l_512_n_100_0_0.01_34.tre,192.647602
G_l_512_n_100_0_0.01_35.phy,G_l_512_n_100_0_0.01_35.tre,232.253164
G_l_512_n_100_0_0.01_42.phy,G_l_512_n_100_0_0.01_42.tre,192.868215
G_l_512_n_100_0_0.01_45.phy,G_l_512_n_100_0_0.01_45.tre,172.275723
G_l_512_n_100_0_0.01_52.phy,G_l_512_n_100_0_0.01_52.tre,203.003037
G_l_512_n_100_0_0.01_57.phy,G_l_512_n_100_0_0.01_57.tre,204.287760
G_l_512_n_100_0_0.01_58.phy,G_l_512_n_100_0_0.01_58.tre,192.038367
G_l_512_n_100_0_0.01_60.phy,G_l_512_n_100_0_0.01_60.tre,203.552754
G_l_512_n_100_0_0.01_73.phy,G_l_512_n_100_0_0.01_73.tre,250.546019
G_l_512_n_100_0_0.01_8.phy,G_l_512_n_100_0_0.01_8.tre,193.119003
G_l_512_n_100_0_0.01_95.phy,G_l_512_n_100_0_0.01_95.tre,174.773105
G_l_512_n_100_0_0.02_105.phy,G_l_512_n_100_0_0.02_105.tre,180.172360
G_l_512_n_100_0_0.02_107.phy,G_l_512_n_100_0_0.02_107.tre,203.819081
G_l_512_n_100_0_0.02_109.phy,G_l_512_n_100_0_0.02_109.tre,169.067095
