dataset	gene	tree_file	rf	nrf
SongD1	gene1	gene1.treefile	18.0	0.2647058823529412
SongD1	gene10	gene10.treefile	20.0	0.29411764705882354
SongD1	gene100	gene100.treefile	24.0	0.35294117647058826
SongD1	gene101	gene101.treefile	24.0	0.35294117647058826
SongD1	gene102	gene102.treefile	20.0	0.29411764705882354
SongD1	gene103	gene103.treefile	20.0	0.29411764705882354
SongD1	gene104	gene104.treefile	28.0	0.4117647058823529
SongD1	gene105	gene105.treefile	14.0	0.20588235294117646
SongD1	gene106	gene106.treefile	14.0	0.20588235294117646
SongD1	gene107	gene107.treefile	44.0	0.6470588235294118
SongD1	gene108	gene108.treefile	14.0	0.20588235294117646
SongD1	gene109	gene109.treefile	28.0	0.4117647058823529
SongD1	gene110	gene110.treefile	10.0	0.14705882352941177
SongD1	gene111	gene111.treefile	14.0	0.20588235294117646
SongD1	gene112	gene112.treefile	28.0	0.4117647058823529
SongD1	gene113	gene113.treefile	22.0	0.3235294117647059
SongD1	gene114	gene114.treefile	24.0	0.35294117647058826
SongD1	gene115	gene115.treefile	8.0	0.11764705882352941
SongD1	gene116	gene116.treefile	16.0	0.23529411764705882
SongD1	gene117	gene117.treefile	14.0	0.20588235294117646
SongD1	gene118	gene118.treefile	8.0	0.11764705882352941
SongD1	gene12	gene12.treefile	24.0	0.35294117647058826
SongD1	gene120	gene120.treefile	12.0	0.17647058823529413
SongD1	gene121	gene121.treefile	10.0	0.14705882352941177
SongD1	gene122	gene122.treefile	30.0	0.4411764705882353
SongD1	gene123	gene123.treefile	32.0	0.47058823529411764
SongD1	gene124	gene124.treefile	34.0	0.5
SongD1	gene125	gene125.treefile	36.0	0.5294117647058824
SongD1	gene126	gene126.treefile	12.0	0.17647058823529413
SongD1	gene127	gene127.treefile	26.0	0.38235294117647056
SongD1	gene128	gene128.treefile	12.0	0.17647058823529413
SongD1	gene129	gene129.treefile	22.0	0.3235294117647059
SongD1	gene13	gene13.treefile	8.0	0.11764705882352941
SongD1	gene130	gene130.treefile	10.0	0.14705882352941177
SongD1	gene131	gene131.treefile	16.0	0.23529411764705882
SongD1	gene132	gene132.treefile	26.0	0.38235294117647056
SongD1	gene133	gene133.treefile	10.0	0.14705882352941177
