dataset	gene	tree_file	rf	nrf
WickD3b	4032	4032.treefile	22.0	0.55
WickD3b	4048	4048.treefile	56.0	0.4057971014492754
WickD3b	4103	4103.treefile	56.0	0.4375
WickD3b	4218	4218.treefile	44.0	0.34375
WickD3b	4234	4234.treefile	60.0	0.5357142857142857
WickD3b	4308	4308.treefile	80.0	0.5405405405405406
WickD3b	4321	4321.treefile	44.0	0.4074074074074074
WickD3b	4474	4474.treefile	46.0	0.32857142857142857
WickD3b	4478	4478.treefile	96.0	0.6233766233766234
WickD3b	4490	4490.treefile	64.0	0.6956521739130435
WickD3b	4524	4524.treefile	76.0	0.5277777777777778
WickD3b	4533	4533.treefile	72.0	0.5806451612903226
WickD3b	4547	4547.treefile	60.0	0.42857142857142855
WickD3b	4548	4548.treefile	34.0	0.24285714285714285
WickD3b	4579	4579.treefile	58.0	0.5576923076923077
WickD3b	4599	4599.treefile	50.0	0.5319148936170213
WickD3b	4623	4623.treefile	66.0	0.5076923076923077
WickD3b	4637	4637.treefile	62.0	0.49206349206349204
WickD3b	4638	4638.treefile	56.0	0.509090909090909
WickD3b	4685	4685.treefile	10.0	0.45454545454545453
WickD3b	4729	4729.treefile	40.0	0.43478260869565216
WickD3b	4745	4745.treefile	24.0	0.36363636363636365
WickD3b	4777	4777.treefile	22.0	0.2682926829268293
WickD3b	4823	4823.treefile	40.0	0.39215686274509803
WickD3b	4886	4886.treefile	38.0	0.296875
WickD3b	4914	4914.treefile	50.0	0.3246753246753247
WickD3b	4932	4932.treefile	12.0	1.0
WickD3b	4955	4955.treefile	96.0	0.7164179104477612
WickD3b	4975	4975.treefile	78.0	0.527027027027027
WickD3b	4982	4982.treefile	14.0	0.2413793103448276
WickD3b	5034	5034.treefile	78.0	0.4875
WickD3b	5041	5041.treefile	30.0	0.6521739130434783
WickD3b	5062	5062.treefile	66.0	0.515625
WickD3b	5063	5063.treefile	24.0	0.19047619047619047
WickD3b	5068	5068.treefile	22.0	0.3793103448275862
WickD3b	5075	5075.treefile	64.0	0.3855421686746988
WickD3b	5081	5081.treefile	34.0	0.8947368421052632
WickD3b	5086	5086.treefile	30.0	0.2727272727272727
WickD3b	5087	5087.treefile	74.0	0.5873015873015873
WickD3b	5088	5088.treefile	66.0	0.5076923076923077
WickD3b	5091	5091.treefile	28.0	0.5
