dataset	gene	tree_file	rf	nrf
JarvD5a	exon_1000	RAxML_bestTree.exon_1000	66.0	0.7333333333333333
JarvD5a	exon_10000	RAxML_bestTree.exon_10000	72.0	0.8181818181818182
JarvD5a	exon_10001	RAxML_bestTree.exon_10001	54.0	0.6136363636363636
JarvD5a	exon_10002	RAxML_bestTree.exon_10002	80.0	0.9090909090909091
JarvD5a	exon_10003	RAxML_bestTree.exon_10003	88.0	0.9777777777777777
JarvD5a	exon_10004	RAxML_bestTree.exon_10004	64.0	0.7619047619047619
JarvD5a	exon_10005	RAxML_bestTree.exon_10005	64.0	0.7441860465116279
JarvD5a	exon_10006	RAxML_bestTree.exon_10006	78.0	0.8666666666666667
JarvD5a	exon_10007	RAxML_bestTree.exon_10007	66.0	0.7674418604651163
JarvD5a	exon_10008	RAxML_bestTree.exon_10008	68.0	0.8095238095238095
JarvD5a	exon_10009	RAxML_bestTree.exon_10009	74.0	0.8222222222222222
JarvD5a	exon_1001	RAxML_bestTree.exon_1001	66.0	0.7857142857142857
JarvD5a	exon_10010	RAxML_bestTree.exon_10010	62.0	0.6888888888888889
JarvD5a	exon_10011	RAxML_bestTree.exon_10011	86.0	0.9772727272727273
JarvD5a	exon_10012	RAxML_bestTree.exon_10012	82.0	0.9534883720930233
JarvD5a	exon_10013	RAxML_bestTree.exon_10013	66.0	0.7674418604651163
JarvD5a	exon_10014	RAxML_bestTree.exon_10014	62.0	0.7560975609756098
JarvD5a	exon_10015	RAxML_bestTree.exon_10015	70.0	0.7954545454545454
JarvD5a	exon_10016	RAxML_bestTree.exon_10016	64.0	0.7111111111111111
JarvD5a	exon_10017	RAxML_bestTree.exon_10017	84.0	0.9333333333333333
JarvD5a	exon_10018	RAxML_bestTree.exon_10018	86.0	0.9772727272727273
JarvD5a	exon_10019	RAxML_bestTree.exon_10019	72.0	0.8372093023255814
JarvD5a	exon_10022	RAxML_bestTree.exon_10022	76.0	0.8444444444444444
JarvD5a	exon_10023	RAxML_bestTree.exon_10023	66.0	0.75
JarvD5a	exon_10024	RAxML_bestTree.exon_10024	60.0	0.6818181818181818
JarvD5a	exon_10025	RAxML_bestTree.exon_10025	68.0	0.7906976744186046
JarvD5a	exon_10026	RAxML_bestTree.exon_10026	56.0	0.7
JarvD5a	exon_10027	RAxML_bestTree.exon_10027	64.0	0.7441860465116279
JarvD5a	exon_10028	RAxML_bestTree.exon_10028	78.0	1.0
JarvD5a	exon_10029	RAxML_bestTree.exon_10029	66.0	0.75
JarvD5a	exon_10031	RAxML_bestTree.exon_10031	74.0	0.8604651162790697
JarvD5a	exon_10032	RAxML_bestTree.exon_10032	66.0	0.7333333333333333
JarvD5a	exon_10034	RAxML_bestTree.exon_10034	66.0	0.7333333333333333
JarvD5a	exon_10035	RAxML_bestTree.exon_10035	68.0	0.7555555555555555
JarvD5a	exon_10036	RAxML_bestTree.exon_10036	76.0	0.8636363636363636
JarvD5a	exon_1004	RAxML_bestTree.exon_1004	70.0	0.875
JarvD5a	exon_10041	RAxML_bestTree.exon_10041	72.0	0.8
JarvD5a	exon_10043	RAxML_bestTree.exon_10043	72.0	0.8181818181818182
JarvD5a	exon_10044	RAxML_bestTree.exon_10044	62.0	0.775
JarvD5a	exon_10045	RAxML_bestTree.exon_10045	66.0	0.825
JarvD5a	exon_10046	RAxML_bestTree.exon_10046	62.0	0.6888888888888889
JarvD5a	exon_10047	RAxML_bestTree.exon_10047	78.0	0.8666666666666667
JarvD5a	exon_10048	RAxML_bestTree.exon_10048	62.0	0.7560975609756098
JarvD5a	exon_10049	RAxML_bestTree.exon_10049	68.0	0.7727272727272727
JarvD5a	exon_1005	RAxML_bestTree.exon_1005	70.0	0.8536585365853658
JarvD5a	exon_10050	RAxML_bestTree.exon_10050	72.0	0.8
JarvD5a	exon_10052	RAxML_bestTree.exon_10052	70.0	0.8333333333333334
JarvD5a	exon_10053	RAxML_bestTree.exon_10053	66.0	0.8048780487804879
JarvD5a	exon_10056	RAxML_bestTree.exon_10056	66.0	0.7333333333333333
JarvD5a	exon_10057	RAxML_bestTree.exon_10057	60.0	0.7142857142857143
JarvD5a	exon_10059	RAxML_bestTree.exon_10059	56.0	0.6666666666666666
JarvD5a	exon_1006	RAxML_bestTree.exon_1006	66.0	0.75
JarvD5a	exon_10060	RAxML_bestTree.exon_10060	58.0	0.6904761904761905
