dataset	gene	tree_file	rf	nrf
WickD3b	4032	RAxML_bestTree.4032	22.0	0.55
WickD3b	4048	RAxML_bestTree.4048	56.0	0.4057971014492754
WickD3b	4103	RAxML_bestTree.4103	56.0	0.4375
WickD3b	4218	RAxML_bestTree.4218	60.0	0.46875
WickD3b	4234	RAxML_bestTree.4234	62.0	0.5535714285714286
WickD3b	4308	RAxML_bestTree.4308	98.0	0.6621621621621622
WickD3b	4321	RAxML_bestTree.4321	44.0	0.4074074074074074
WickD3b	4474	RAxML_bestTree.4474	48.0	0.34285714285714286
WickD3b	4478	RAxML_bestTree.4478	102.0	0.6623376623376623
WickD3b	4490	RAxML_bestTree.4490	66.0	0.717391304347826
WickD3b	4524	RAxML_bestTree.4524	68.0	0.4722222222222222
WickD3b	4533	RAxML_bestTree.4533	72.0	0.5806451612903226
WickD3b	4547	RAxML_bestTree.4547	58.0	0.4142857142857143
WickD3b	4548	RAxML_bestTree.4548	32.0	0.22857142857142856
WickD3b	4579	RAxML_bestTree.4579	68.0	0.6538461538461539
WickD3b	4599	RAxML_bestTree.4599	50.0	0.5319148936170213
WickD3b	4623	RAxML_bestTree.4623	66.0	0.5076923076923077
WickD3b	4637	RAxML_bestTree.4637	60.0	0.47619047619047616
WickD3b	4638	RAxML_bestTree.4638	54.0	0.4909090909090909
WickD3b	4685	RAxML_bestTree.4685	8.0	0.36363636363636365
WickD3b	4729	RAxML_bestTree.4729	34.0	0.3695652173913043
WickD3b	4745	RAxML_bestTree.4745	24.0	0.36363636363636365
WickD3b	4777	RAxML_bestTree.4777	24.0	0.2926829268292683
WickD3b	4823	RAxML_bestTree.4823	40.0	0.39215686274509803
WickD3b	4886	RAxML_bestTree.4886	36.0	0.28125
WickD3b	4914	RAxML_bestTree.4914	54.0	0.35064935064935066
WickD3b	4932	RAxML_bestTree.4932	12.0	1.0
WickD3b	4955	RAxML_bestTree.4955	94.0	0.7014925373134329
WickD3b	4975	RAxML_bestTree.4975	78.0	0.527027027027027
WickD3b	4982	RAxML_bestTree.4982	16.0	0.27586206896551724
WickD3b	5034	RAxML_bestTree.5034	76.0	0.475
WickD3b	5041	RAxML_bestTree.5041	30.0	0.6521739130434783
WickD3b	5062	RAxML_bestTree.5062	68.0	0.53125
WickD3b	5063	RAxML_bestTree.5063	24.0	0.19047619047619047
WickD3b	5068	RAxML_bestTree.5068	22.0	0.3793103448275862
WickD3b	5075	RAxML_bestTree.5075	72.0	0.43373493975903615
WickD3b	5081	RAxML_bestTree.5081	36.0	0.9473684210526315
WickD3b	5086	RAxML_bestTree.5086	30.0	0.2727272727272727
WickD3b	5087	RAxML_bestTree.5087	76.0	0.6031746031746031
WickD3b	5088	RAxML_bestTree.5088	70.0	0.5384615384615384
WickD3b	5091	RAxML_bestTree.5091	26.0	0.4642857142857143
WickD3b	5092	RAxML_bestTree.5092	56.0	0.5283018867924528
WickD3b	5096	RAxML_bestTree.5096	70.0	0.5932203389830508
WickD3b	5097	RAxML_bestTree.5097	74.0	0.5873015873015873
WickD3b	5103	RAxML_bestTree.5103	14.0	0.3888888888888889
WickD3b	5111	RAxML_bestTree.5111	54.0	0.34615384615384615
WickD3b	5116	RAxML_bestTree.5116	92.0	0.6301369863013698
WickD3b	5148	RAxML_bestTree.5148	86.0	0.7166666666666667
WickD3b	5154	RAxML_bestTree.5154	2.0	0.058823529411764705
WickD3b	5161	RAxML_bestTree.5161	42.0	0.28
WickD3b	5165	RAxML_bestTree.5165	28.0	0.3333333333333333
WickD3b	5170	RAxML_bestTree.5170	54.0	0.4153846153846154
WickD3b	5172	RAxML_bestTree.5172	62.0	0.5961538461538461
