dataset	gene	tree_file	rf	nrf
SongD1	gene1	RAxML_bestTree.gene1	18.0	0.2647058823529412
SongD1	gene10	RAxML_bestTree.gene10	22.0	0.3235294117647059
SongD1	gene100	RAxML_bestTree.gene100	24.0	0.35294117647058826
SongD1	gene101	RAxML_bestTree.gene101	24.0	0.35294117647058826
SongD1	gene102	RAxML_bestTree.gene102	20.0	0.29411764705882354
SongD1	gene103	RAxML_bestTree.gene103	20.0	0.29411764705882354
SongD1	gene104	RAxML_bestTree.gene104	30.0	0.4411764705882353
SongD1	gene105	RAxML_bestTree.gene105	14.0	0.20588235294117646
SongD1	gene106	RAxML_bestTree.gene106	14.0	0.20588235294117646
SongD1	gene107	RAxML_bestTree.gene107	44.0	0.6470588235294118
SongD1	gene108	RAxML_bestTree.gene108	14.0	0.20588235294117646
SongD1	gene109	RAxML_bestTree.gene109	30.0	0.4411764705882353
SongD1	gene110	RAxML_bestTree.gene110	10.0	0.14705882352941177
SongD1	gene111	RAxML_bestTree.gene111	14.0	0.20588235294117646
SongD1	gene112	RAxML_bestTree.gene112	20.0	0.29411764705882354
SongD1	gene113	RAxML_bestTree.gene113	20.0	0.29411764705882354
SongD1	gene114	RAxML_bestTree.gene114	26.0	0.38235294117647056
SongD1	gene115	RAxML_bestTree.gene115	8.0	0.11764705882352941
SongD1	gene116	RAxML_bestTree.gene116	18.0	0.2647058823529412
SongD1	gene117	RAxML_bestTree.gene117	14.0	0.20588235294117646
SongD1	gene118	RAxML_bestTree.gene118	8.0	0.11764705882352941
SongD1	gene12	RAxML_bestTree.gene12	24.0	0.35294117647058826
SongD1	gene120	RAxML_bestTree.gene120	12.0	0.17647058823529413
SongD1	gene121	RAxML_bestTree.gene121	10.0	0.14705882352941177
SongD1	gene122	RAxML_bestTree.gene122	30.0	0.4411764705882353
SongD1	gene123	RAxML_bestTree.gene123	32.0	0.47058823529411764
SongD1	gene124	RAxML_bestTree.gene124	34.0	0.5
SongD1	gene125	RAxML_bestTree.gene125	20.0	0.29411764705882354
SongD1	gene126	RAxML_bestTree.gene126	12.0	0.17647058823529413
SongD1	gene127	RAxML_bestTree.gene127	22.0	0.3235294117647059
SongD1	gene128	RAxML_bestTree.gene128	12.0	0.17647058823529413
SongD1	gene129	RAxML_bestTree.gene129	22.0	0.3235294117647059
SongD1	gene13	RAxML_bestTree.gene13	10.0	0.14705882352941177
SongD1	gene130	RAxML_bestTree.gene130	12.0	0.17647058823529413
SongD1	gene131	RAxML_bestTree.gene131	16.0	0.23529411764705882
SongD1	gene132	RAxML_bestTree.gene132	26.0	0.38235294117647056
SongD1	gene133	RAxML_bestTree.gene133	10.0	0.14705882352941177
SongD1	gene134	RAxML_bestTree.gene134	16.0	0.23529411764705882
SongD1	gene135	RAxML_bestTree.gene135	8.0	0.11764705882352941
SongD1	gene136	RAxML_bestTree.gene136	8.0	0.11764705882352941
SongD1	gene137	RAxML_bestTree.gene137	14.0	0.20588235294117646
SongD1	gene138	RAxML_bestTree.gene138	14.0	0.20588235294117646
SongD1	gene139	RAxML_bestTree.gene139	8.0	0.11764705882352941
SongD1	gene14	RAxML_bestTree.gene14	12.0	0.17647058823529413
SongD1	gene140	RAxML_bestTree.gene140	10.0	0.14705882352941177
SongD1	gene141	RAxML_bestTree.gene141	14.0	0.20588235294117646
SongD1	gene142	RAxML_bestTree.gene142	18.0	0.2647058823529412
SongD1	gene143	RAxML_bestTree.gene143	20.0	0.29411764705882354
SongD1	gene144	RAxML_bestTree.gene144	16.0	0.23529411764705882
SongD1	gene145	RAxML_bestTree.gene145	32.0	0.47058823529411764
SongD1	gene146	RAxML_bestTree.gene146	12.0	0.17647058823529413
SongD1	gene147	RAxML_bestTree.gene147	26.0	0.38235294117647056
SongD1	gene148	RAxML_bestTree.gene148	14.0	0.20588235294117646
SongD1	gene149	RAxML_bestTree.gene149	6.0	0.08823529411764706
SongD1	gene15	RAxML_bestTree.gene15	8.0	0.11764705882352941
SongD1	gene151	RAxML_bestTree.gene151	18.0	0.2647058823529412
SongD1	gene152	RAxML_bestTree.gene152	28.0	0.4117647058823529
SongD1	gene153	RAxML_bestTree.gene153	8.0	0.11764705882352941
SongD1	gene154	RAxML_bestTree.gene154	34.0	0.5
SongD1	gene155	RAxML_bestTree.gene155	14.0	0.20588235294117646
SongD1	gene156	RAxML_bestTree.gene156	12.0	0.17647058823529413
SongD1	gene157	RAxML_bestTree.gene157	24.0	0.35294117647058826
SongD1	gene158	RAxML_bestTree.gene158	14.0	0.20588235294117646
SongD1	gene159	RAxML_bestTree.gene159	26.0	0.38235294117647056
SongD1	gene16	RAxML_bestTree.gene16	10.0	0.14705882352941177
SongD1	gene160	RAxML_bestTree.gene160	12.0	0.17647058823529413
SongD1	gene161	RAxML_bestTree.gene161	18.0	0.2647058823529412
SongD1	gene162	RAxML_bestTree.gene162	18.0	0.2647058823529412
SongD1	gene163	RAxML_bestTree.gene163	44.0	0.6470588235294118
SongD1	gene164	RAxML_bestTree.gene164	6.0	0.08823529411764706
SongD1	gene165	RAxML_bestTree.gene165	8.0	0.11764705882352941
SongD1	gene166	RAxML_bestTree.gene166	16.0	0.23529411764705882
SongD1	gene167	RAxML_bestTree.gene167	16.0	0.23529411764705882
SongD1	gene169	RAxML_bestTree.gene169	4.0	0.058823529411764705
SongD1	gene17	RAxML_bestTree.gene17	18.0	0.2647058823529412
SongD1	gene170	RAxML_bestTree.gene170	8.0	0.11764705882352941
SongD1	gene171	RAxML_bestTree.gene171	10.0	0.14705882352941177
SongD1	gene172	RAxML_bestTree.gene172	10.0	0.14705882352941177
SongD1	gene173	RAxML_bestTree.gene173	18.0	0.2647058823529412
SongD1	gene174	RAxML_bestTree.gene174	10.0	0.14705882352941177
SongD1	gene175	RAxML_bestTree.gene175	22.0	0.3235294117647059
SongD1	gene176	RAxML_bestTree.gene176	10.0	0.14705882352941177
SongD1	gene177	RAxML_bestTree.gene177	28.0	0.4117647058823529
SongD1	gene178	RAxML_bestTree.gene178	26.0	0.38235294117647056
SongD1	gene179	RAxML_bestTree.gene179	18.0	0.2647058823529412
SongD1	gene18	RAxML_bestTree.gene18	16.0	0.23529411764705882
SongD1	gene180	RAxML_bestTree.gene180	4.0	0.058823529411764705
SongD1	gene181	RAxML_bestTree.gene181	16.0	0.23529411764705882
SongD1	gene182	RAxML_bestTree.gene182	18.0	0.2647058823529412
SongD1	gene183	RAxML_bestTree.gene183	22.0	0.3235294117647059
SongD1	gene184	RAxML_bestTree.gene184	14.0	0.20588235294117646
SongD1	gene185	RAxML_bestTree.gene185	20.0	0.29411764705882354
SongD1	gene186	RAxML_bestTree.gene186	20.0	0.29411764705882354
SongD1	gene187	RAxML_bestTree.gene187	20.0	0.29411764705882354
SongD1	gene188	RAxML_bestTree.gene188	22.0	0.3235294117647059
SongD1	gene189	RAxML_bestTree.gene189	22.0	0.3235294117647059
SongD1	gene19	RAxML_bestTree.gene19	6.0	0.08823529411764706
SongD1	gene190	RAxML_bestTree.gene190	14.0	0.20588235294117646
SongD1	gene191	RAxML_bestTree.gene191	14.0	0.20588235294117646
SongD1	gene192	RAxML_bestTree.gene192	16.0	0.23529411764705882
SongD1	gene193	RAxML_bestTree.gene193	18.0	0.2647058823529412
SongD1	gene194	RAxML_bestTree.gene194	14.0	0.20588235294117646
