file	filename	format_used	num_taxa	num_sites	max_sites	keep	reason
/workspace/NeuralNJ/empirical/JarvD5a/exon_1000.fasta	exon_1000.fasta	fasta	48	640	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10000.fasta	exon_10000.fasta	fasta	47	292	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10001.fasta	exon_10001.fasta	fasta	47	1656	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10002.fasta	exon_10002.fasta	fasta	47	1164	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10003.fasta	exon_10003.fasta	fasta	48	136	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10004.fasta	exon_10004.fasta	fasta	45	1536	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10005.fasta	exon_10005.fasta	fasta	46	568	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10006.fasta	exon_10006.fasta	fasta	48	682	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10007.fasta	exon_10007.fasta	fasta	46	1022	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10008.fasta	exon_10008.fasta	fasta	45	406	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10009.fasta	exon_10009.fasta	fasta	48	660	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_1001.fasta	exon_1001.fasta	fasta	45	1554	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10010.fasta	exon_10010.fasta	fasta	48	1144	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10011.fasta	exon_10011.fasta	fasta	47	516	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10012.fasta	exon_10012.fasta	fasta	46	414	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10013.fasta	exon_10013.fasta	fasta	46	640	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10014.fasta	exon_10014.fasta	fasta	44	830	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10015.fasta	exon_10015.fasta	fasta	47	232	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10016.fasta	exon_10016.fasta	fasta	48	1366	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10017.fasta	exon_10017.fasta	fasta	48	734	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10018.fasta	exon_10018.fasta	fasta	47	344	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10019.fasta	exon_10019.fasta	fasta	46	170	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10022.fasta	exon_10022.fasta	fasta	48	884	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10023.fasta	exon_10023.fasta	fasta	47	2040	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10024.fasta	exon_10024.fasta	fasta	47	1366	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10025.fasta	exon_10025.fasta	fasta	46	796	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10026.fasta	exon_10026.fasta	fasta	43	4312	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10027.fasta	exon_10027.fasta	fasta	46	1960	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10028.fasta	exon_10028.fasta	fasta	42	632	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10029.fasta	exon_10029.fasta	fasta	47	1852	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10031.fasta	exon_10031.fasta	fasta	46	340	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10032.fasta	exon_10032.fasta	fasta	48	1344	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10034.fasta	exon_10034.fasta	fasta	48	1220	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10035.fasta	exon_10035.fasta	fasta	48	354	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10036.fasta	exon_10036.fasta	fasta	47	736	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_1004.fasta	exon_1004.fasta	fasta	43	864	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10041.fasta	exon_10041.fasta	fasta	48	634	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10043.fasta	exon_10043.fasta	fasta	47	2412	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10044.fasta	exon_10044.fasta	fasta	43	1736	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10045.fasta	exon_10045.fasta	fasta	43	1030	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10046.fasta	exon_10046.fasta	fasta	48	3488	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10047.fasta	exon_10047.fasta	fasta	48	684	17000	yes	
/workspace/NeuralNJ/empirical/JarvD5a/exon_10048.fasta	exon_10048.fasta	fasta	44	396	17000	yes	
