dataset	gene	tree_file	rf	nrf
TarvD7	ENSG00000000003.nuc.ord	ENSG00000000003.nuc.ord.treefile	24.0	0.46153846153846156
TarvD7	ENSG00000000005.nuc.ord	ENSG00000000005.nuc.ord.treefile	28.0	0.45161290322580644
TarvD7	ENSG00000000457.nuc.ord	ENSG00000000457.nuc.ord.treefile	8.0	0.12903225806451613
TarvD7	ENSG00000000460.nuc.ord	ENSG00000000460.nuc.ord.treefile	22.0	0.3333333333333333
TarvD7	ENSG00000001036.nuc.ord	ENSG00000001036.nuc.ord.treefile	26.0	0.40625
TarvD7	ENSG00000001084.nuc.ord	ENSG00000001084.nuc.ord.treefile	10.0	0.15625
TarvD7	ENSG00000001167.nuc.ord	ENSG00000001167.nuc.ord.treefile	36.0	0.6206896551724138
TarvD7	ENSG00000001460.nuc.ord	ENSG00000001460.nuc.ord.treefile	26.0	0.40625
TarvD7	ENSG00000001461.nuc.ord	ENSG00000001461.nuc.ord.treefile	6.0	0.09090909090909091
TarvD7	ENSG00000001561.nuc.ord	ENSG00000001561.nuc.ord.treefile	16.0	0.25806451612903225
TarvD7	ENSG00000001617.nuc.ord	ENSG00000001617.nuc.ord.treefile	18.0	0.32142857142857145
TarvD7	ENSG00000001626.nuc.ord	ENSG00000001626.nuc.ord.treefile	8.0	0.125
TarvD7	ENSG00000001629.nuc.ord	ENSG00000001629.nuc.ord.treefile	14.0	0.22580645161290322
TarvD7	ENSG00000001630.nuc.ord	ENSG00000001630.nuc.ord.treefile	28.0	0.5
TarvD7	ENSG00000001631.nuc.ord	ENSG00000001631.nuc.ord.treefile	12.0	0.2
TarvD7	ENSG00000002016.nuc.ord	ENSG00000002016.nuc.ord.treefile	22.0	0.3793103448275862
TarvD7	ENSG00000002330.nuc.ord	ENSG00000002330.nuc.ord.treefile	22.0	0.4074074074074074
TarvD7	ENSG00000002549.nuc.ord	ENSG00000002549.nuc.ord.treefile	16.0	0.25806451612903225
TarvD7	ENSG00000002587.nuc.ord	ENSG00000002587.nuc.ord.treefile	28.0	0.7
TarvD7	ENSG00000002746.nuc.ord	ENSG00000002746.nuc.ord.treefile	14.0	0.21875
TarvD7	ENSG00000002822.nuc.ord	ENSG00000002822.nuc.ord.treefile	12.0	0.23076923076923078
TarvD7	ENSG00000002834.nuc.ord	ENSG00000002834.nuc.ord.treefile	36.0	0.6666666666666666
TarvD7	ENSG00000002919.nuc.ord	ENSG00000002919.nuc.ord.treefile	24.0	0.41379310344827586
TarvD7	ENSG00000002933.nuc.ord	ENSG00000002933.nuc.ord.treefile	16.0	0.38095238095238093
TarvD7	ENSG00000003056.nuc.ord	ENSG00000003056.nuc.ord.treefile	28.0	0.4666666666666667
TarvD7	ENSG00000003137.nuc.ord	ENSG00000003137.nuc.ord.treefile	28.0	0.4666666666666667
